Time_s,Raw_EMG,Envelope_EMG
0.0004,-242.0,372.0
0.0006,230.0,374.0
0.0008,244.0,378.0
0.0011,-140.0,378.0
0.0013,-152.0,380.0
0.0015,-27.0,378.0
0.0017,43.0,376.0
0.0019,152.0,378.0
0.0021,27.0,372.0
0.0023,-189.0,374.0
0.0025,-54.0,368.0
0.0027,188.0,370.0
0.0029,52.0,364.0
0.0031,-219.0,368.0
0.0033,-58.0,366.0
0.0034,240.0,368.0
0.0035,85.0,370.0
0.0037,-110.0,370.0
0.0038,-85.0,368.0
0.004,-152.0,370.0
0.0041,42.0,368.0
0.0043,352.0,370.0
0.0044,-23.0,368.0
0.0046,-380.0,368.0
0.0047,42.0,368.0
0.0049,262.0,368.0
0.0051,-58.0,366.0
0.0053,-38.0,364.0
0.0055,104.0,362.0
0.0056,-210.0,364.0
0.0058,-236.0,362.0
0.006,351.0,364.0
0.0061,369.0,366.0
0.0064,-338.0,364.0
0.0065,-359.0,366.0
0.0067,246.0,364.0
0.0068,206.0,364.0
0.007,-157.0,362.0
0.0071,-59.0,362.0
0.0073,94.0,356.0
0.0074,25.0,352.0
0.0076,-42.0,346.0
0.0078,-59.0,342.0
0.0079,23.0,336.0
0.0081,64.0,332.0
0.0082,-79.0,332.0
0.0083,-14.0,326.0
0.0085,193.0,328.0
0.0086,-46.0,322.0
0.0088,-267.0,326.0
0.0089,74.0,324.0
0.0091,202.0,324.0
0.0092,-82.0,324.0
0.0093,-12.0,320.0
0.0095,122.0,322.0
0.0097,-143.0,320.0
0.0099,-203.0,322.0
0.01,119.0,318.0
0.0101,248.0,322.0
0.0103,53.0,314.0
0.0104,-166.0,318.0
0.0106,-189.0,310.0
0.0107,-37.0,312.0
0.0109,163.0,304.0
0.011,251.0,308.0
0.0111,-43.0,300.0
0.0113,-361.0,304.0
0.0114,-32.0,298.0
0.0116,334.0,300.0
0.0117,9.0,298.0
0.0118,-227.0,296.0
0.0119,88.0,296.0
0.0121,147.0,296.0
0.0122,-155.0,296.0
0.0124,-162.0,298.0
0.0125,44.0,298.0
0.0126,168.0,296.0
0.0128,214.0,296.0
0.0129,-10.0,294.0
0.0131,-388.0,296.0
0.0132,-254.0,298.0
0.0134,352.0,300.0
0.0135,397.0,304.0
0.0137,-232.0,308.0
0.0139,-354.0,312.0
0.014,179.0,310.0
0.0142,279.0,314.0
0.0144,-196.0,312.0
0.0145,-274.0,314.0
0.0147,216.0,316.0
0.0148,257.0,316.0
0.015,-230.0,318.0
0.0151,-131.0,316.0
0.0153,264.0,318.0
0.0154,-50.0,318.0
0.0156,-307.0,322.0
0.0157,123.0,322.0
0.0159,268.0,326.0
0.016,-24.0,326.0
0.0162,-53.0,326.0
0.0163,-88.0,324.0
0.0164,-251.0,328.0
0.0166,45.0,326.0
0.0168,394.0,332.0
0.017,74.0,330.0
0.0172,-247.0,332.0
0.0174,-78.0,332.0
0.0177,-14.0,330.0
0.0181,-28.0,330.0
0.0183,153.0,332.0
0.0185,74.0,328.0
0.0188,-159.0,328.0
0.019,-2.0,320.0
0.0192,156.0,320.0
0.0195,-77.0,312.0
0.0197,-179.0,314.0
0.0199,77.0,308.0
0.0202,162.0,310.0
0.0203,-5.0,306.0
0.0205,-62.0,304.0
0.0206,-65.0,304.0
0.0208,-90.0,302.0
0.021,57.0,302.0
0.0211,213.0,302.0
0.0212,15.0,302.0
0.0214,-244.0,306.0
0.0215,-68.0,304.0
0.0217,208.0,306.0
0.0218,91.0,302.0
0.0219,-170.0,302.0
0.0221,-112.0,300.0
0.0222,140.0,300.0
0.0224,72.0,298.0
0.0225,-117.0,300.0
0.0226,43.0,300.0
0.0228,123.0,300.0
0.0229,-73.0,300.0
0.0231,-113.0,300.0
0.0232,-79.0,300.0
0.0233,-13.0,296.0
0.0235,248.0,300.0
0.0236,236.0,300.0
0.0238,-226.0,302.0
0.0239,-380.0,304.0
0.024,47.0,304.0
0.0242,316.0,308.0
0.0243,79.0,308.0
0.0244,-115.0,306.0
0.0246,-34.0,306.0
0.0247,-75.0,302.0
0.0249,-100.0,304.0
0.025,186.0,300.0
0.0251,198.0,304.0
0.0253,-224.0,302.0
0.0256,-205.0,304.0
0.0257,255.0,308.0
0.0259,124.0,308.0
0.0261,-359.0,310.0
0.0262,-31.0,308.0
0.0264,500.0,310.0
0.0265,35.0,304.0
0.0267,-509.0,308.0
0.0269,-117.0,304.0
0.027,296.0,304.0
0.0272,115.0,302.0
0.0273,4.0,300.0
0.0275,69.0,300.0
0.0276,-197.0,302.0
0.0278,-307.0,306.0
0.0279,258.0,310.0
0.0281,392.0,316.0
0.0282,-309.0,320.0
0.0284,-270.0,322.0
0.0285,407.0,328.0
0.0287,68.0,328.0
0.0289,-449.0,332.0
0.029,68.0,334.0
0.0292,328.0,334.0
0.0294,-121.0,334.0
0.0295,-94.0,334.0
0.0297,146.0,334.0
0.0299,-112.0,336.0
0.0301,-165.0,336.0
0.0303,196.0,338.0
0.0305,154.0,336.0
0.0306,-95.0,336.0
0.0308,-63.0,334.0
0.0309,-146.0,334.0
0.0311,-117.0,334.0
0.0312,306.0,336.0
0.0314,294.0,340.0
0.0317,-203.0,340.0
0.0318,-306.0,342.0
0.032,-58.0,342.0
0.0321,95.0,338.0
0.0322,194.0,340.0
0.0324,175.0,338.0
0.0325,-66.0,338.0
0.0327,-244.0,338.0
0.0329,-152.0,340.0
0.033,38.0,338.0
0.0331,207.0,338.0
0.0333,214.0,340.0
0.0334,-92.0,340.0
0.0336,-247.0,342.0
0.0337,12.0,338.0
0.0338,66.0,340.0
0.034,-79.0,334.0
0.0341,89.0,332.0
0.0343,199.0,330.0
0.0345,-86.0,324.0
0.0348,-216.0,324.0
0.035,8.0,318.0
0.0352,80.0,318.0
0.0353,4.0,314.0
0.0355,83.0,312.0
0.0357,66.0,308.0
0.0359,-147.0,306.0
0.036,-124.0,304.0
0.0362,155.0,304.0
0.0364,118.0,304.0
0.0365,-186.0,302.0
0.0367,-106.0,304.0
0.0368,196.0,302.0
0.0369,105.0,302.0
0.0371,-155.0,300.0
0.0372,-31.0,300.0
0.0374,146.0,300.0
0.0376,-140.0,302.0
0.0378,-225.0,302.0
0.0379,295.0,306.0
0.0381,311.0,304.0
0.0382,-320.0,308.0
0.0384,-302.0,308.0
0.0386,237.0,312.0
0.0388,210.0,314.0
0.039,-117.0,316.0
0.0392,-117.0,316.0
0.0394,-8.0,314.0
0.0395,21.0,312.0
0.0397,88.0,314.0
0.0398,127.0,312.0
0.04,-44.0,312.0
0.0401,-237.0,314.0
0.0403,-102.0,314.0
0.0405,144.0,314.0
0.0406,195.0,316.0
0.0408,118.0,318.0
0.0409,-137.0,318.0
0.0411,-343.0,322.0
0.0412,25.0,322.0
0.0413,425.0,324.0
0.0415,-11.0,324.0
0.0416,-438.0,328.0
0.0418,106.0,328.0
0.0419,478.0,332.0
0.0421,-209.0,334.0
0.0422,-511.0,340.0
0.0424,237.0,342.0
0.0425,431.0,346.0
0.0427,-187.0,348.0
0.0428,-183.0,350.0
0.0429,155.0,352.0
0.0431,-128.0,352.0
0.0432,-219.0,354.0
0.0434,304.0,356.0
0.0435,276.0,360.0
0.0438,-290.0,364.0
0.044,-192.0,362.0
0.0445,218.0,362.0
0.0446,43.0,360.0
0.0448,-223.0,358.0
0.0449,16.0,356.0
0.045,315.0,356.0
0.0452,33.0,356.0
0.0453,-392.0,360.0
0.0455,-109.0,362.0
0.0456,352.0,366.0
0.0459,145.0,366.0
0.0462,-204.0,366.0
0.0465,-169.0,366.0
0.0467,6.0,364.0
0.0469,209.0,364.0
0.0472,181.0,362.0
0.0474,-214.0,364.0
0.0477,-251.0,362.0
0.0478,168.0,364.0
0.0481,143.0,358.0
0.0482,-147.0,360.0
0.0484,40.0,352.0
0.0485,163.0,354.0
0.0487,-149.0,352.0
0.0488,-156.0,352.0
0.049,146.0,354.0
0.0491,119.0,354.0
0.0493,-97.0,354.0
0.0494,-92.0,350.0
0.0496,75.0,346.0
0.0499,93.0,342.0
0.0501,-96.0,338.0
0.0504,-118.0,336.0
0.0507,104.0,332.0
0.051,153.0,334.0
0.0512,-57.0,328.0
0.0515,-169.0,328.0
0.0517,18.0,324.0
0.052,140.0,324.0
0.0522,-61.0,324.0
0.0525,-69.0,322.0
0.0527,164.0,324.0
0.0529,2.0,320.0
0.0532,-244.0,322.0
0.0534,-4.0,318.0
0.0536,223.0,320.0
0.0539,48.0,320.0
0.0541,-93.0,320.0
0.0543,-29.0,318.0
0.0545,5.0,314.0
0.0548,-52.0,310.0
0.055,-94.0,308.0
0.0552,89.0,304.0
0.0555,251.0,308.0
0.0557,-70.0,308.0
0.056,-300.0,310.0
0.0562,110.0,308.0
0.0565,280.0,312.0
0.0567,-230.0,312.0
0.057,-346.0,314.0
0.0572,263.0,318.0
0.0575,478.0,322.0
0.0577,-118.0,320.0
0.0581,-503.0,328.0
0.0583,-28.0,324.0
0.0584,364.0,330.0
0.0586,-3.0,328.0
0.0588,-174.0,330.0
0.059,160.0,330.0
0.0592,54.0,328.0
0.0594,-272.0,332.0
0.0596,-59.0,328.0
0.0598,246.0,332.0
0.0599,154.0,334.0
0.06,-69.0,334.0
0.0602,-197.0,336.0
0.0604,-201.0,338.0
0.0605,29.0,336.0
0.0607,383.0,340.0
0.0608,339.0,344.0
0.061,-271.0,346.0
0.0611,-671.0,354.0
0.0613,-125.0,354.0
0.0615,672.0,362.0
0.0618,466.0,368.0
0.0621,-316.0,370.0
0.0623,-357.0,374.0
0.0625,-21.0,372.0
0.0627,-135.0,372.0
0.0628,-19.0,370.0
