Time_s,Raw_EMG,Envelope_EMG
0.0006,-48.0,56.0
0.0008,-17.0,56.0
0.0009,44.0,56.0
0.001,20.0,56.0
0.0012,-15.0,56.0
0.0013,-13.0,54.0
0.0015,-18.0,54.0
0.0016,-9.0,52.0
0.0017,30.0,52.0
0.0018,33.0,50.0
0.0019,-13.0,50.0
0.0021,-38.0,50.0
0.0022,-13.0,50.0
0.0024,21.0,50.0
0.0025,26.0,50.0
0.0026,2.0,50.0
0.0027,-16.0,50.0
0.0029,-12.0,50.0
0.003,-1.0,48.0
0.0031,3.0,48.0
0.0032,9.0,46.0
0.0033,12.0,46.0
0.0034,-5.0,44.0
0.0035,-23.0,44.0
0.0036,-2.0,42.0
0.0038,26.0,42.0
0.0039,6.0,40.0
0.004,-22.0,40.0
0.0041,0.0,40.0
0.0042,17.0,40.0
0.0043,-14.0,40.0
0.0045,-17.0,40.0
0.0046,25.0,40.0
0.0047,22.0,38.0
0.0048,-20.0,38.0
0.0049,-21.0,38.0
0.005,6.0,36.0
0.0051,9.0,36.0
0.0052,3.0,36.0
0.0053,9.0,34.0
0.0055,-2.0,34.0
0.0056,-26.0,34.0
0.0057,-7.0,34.0
0.0058,28.0,34.0
0.0059,14.0,34.0
0.006,-18.0,34.0
0.0062,-15.0,34.0
0.0063,7.0,34.0
0.0064,13.0,34.0
0.0065,0.0,34.0
0.0066,-12.0,32.0
0.0067,-6.0,32.0
0.0068,5.0,32.0
0.0069,7.0,32.0
0.007,8.0,32.0
0.0072,3.0,32.0
0.0074,-19.0,32.0
0.0076,-22.0,32.0
0.0077,23.0,32.0
0.0078,42.0,32.0
0.008,-17.0,32.0
0.0082,-51.0,34.0
0.0083,3.0,34.0
0.0084,39.0,34.0
0.0085,7.0,32.0
0.0086,-16.0,32.0
0.0087,-2.0,30.0
0.0088,0.0,28.0
0.009,-13.0,28.0
0.0091,18.0,26.0
0.0092,40.0,26.0
0.0093,-45.0,26.0
0.0095,-81.0,28.0
0.0096,66.0,28.0
0.0097,125.0,30.0
0.0098,-62.0,32.0
0.01,-143.0,32.0
0.0101,34.0,34.0
0.0103,120.0,34.0
0.0104,-4.0,34.0
0.0106,-69.0,36.0
0.0107,-3.0,36.0
0.0108,23.0,36.0
0.011,-10.0,36.0
0.0111,10.0,36.0
0.0112,39.0,36.0
0.0113,-36.0,36.0
0.0114,-79.0,38.0
0.0115,51.0,38.0
0.0117,114.0,40.0
0.0118,-47.0,40.0
0.0119,-120.0,42.0
0.0121,31.0,42.0
0.0122,94.0,44.0
0.0123,-16.0,44.0
0.0124,-53.0,44.0
0.0125,9.0,44.0
0.0126,18.0,44.0
0.0127,-6.0,44.0
0.0128,9.0,44.0
0.0129,10.0,44.0
0.0131,-36.0,46.0
0.0133,-29.0,46.0
0.0134,50.0,46.0
0.0135,55.0,48.0
0.0136,-39.0,48.0
0.0138,-66.0,48.0
0.0139,14.0,48.0
0.0141,51.0,50.0
0.0142,7.0,50.0
0.0143,-22.0,50.0
0.0145,-12.0,50.0
0.0146,-5.0,50.0
0.0147,3.0,50.0
0.0148,23.0,50.0
0.0149,17.0,50.0
0.0151,-31.0,50.0
0.0152,-43.0,50.0
0.0153,26.0,50.0
0.0154,58.0,52.0
0.0156,-10.0,52.0
0.0157,-49.0,52.0
0.0158,-3.0,52.0
0.0159,28.0,52.0
0.016,10.0,52.0
0.0161,-12.0,52.0
0.0163,-14.0,52.0
0.0164,4.0,52.0
0.0165,17.0,52.0
0.0166,0.0,52.0
0.0167,-14.0,50.0
0.0168,0.0,50.0
0.0169,4.0,50.0
0.017,-5.0,50.0
0.0171,1.0,50.0
0.0172,15.0,50.0
0.0173,1.0,50.0
0.0174,-18.0,50.0
0.0176,-7.0,50.0
0.0177,13.0,48.0
0.0178,9.0,48.0
0.0179,-3.0,48.0
0.018,-7.0,48.0
0.0181,-5.0,48.0
0.0182,1.0,48.0
0.0183,10.0,48.0
0.0184,4.0,48.0
0.0185,-9.0,48.0
0.0186,-4.0,48.0
0.0187,6.0,48.0
0.0188,-2.0,48.0
0.0189,-4.0,48.0
0.019,11.0,48.0
0.0191,3.0,48.0
0.0192,-16.0,48.0
0.0193,-3.0,48.0
0.0194,17.0,48.0
0.0195,7.0,48.0
0.0197,-7.0,48.0
0.0199,-11.0,48.0
0.0201,-8.0,46.0
0.0202,5.0,46.0
0.0203,15.0,46.0
0.0205,7.0,46.0
0.0206,-3.0,46.0
0.0208,-13.0,46.0
0.021,-18.0,46.0
0.0212,5.0,46.0
0.0213,31.0,46.0
0.0215,8.0,46.0
0.0216,-27.0,46.0
0.0218,-15.0,46.0
0.022,12.0,46.0
0.0221,14.0,46.0
0.0222,4.0,46.0
0.0224,-6.0,46.0
0.0225,-12.0,46.0
0.0226,-2.0,46.0
0.0227,13.0,46.0
0.0228,10.0,46.0
0.0229,-9.0,46.0
0.0231,-10.0,46.0
0.0231,5.0,46.0
0.0232,3.0,46.0
0.0234,-4.0,46.0
0.0234,5.0,46.0
0.0236,6.0,46.0
0.0237,-6.0,46.0
0.0238,-9.0,46.0
0.0239,-1.0,44.0
0.024,6.0,44.0
0.0241,9.0,44.0
0.0242,0.0,44.0
0.0243,-8.0,44.0
0.0244,-3.0,44.0
0.0245,0.0,44.0
0.0246,-1.0,44.0
0.0247,6.0,44.0
0.0248,12.0,42.0
0.0249,-2.0,42.0
0.025,-14.0,42.0
0.0252,-5.0,40.0
0.0253,5.0,38.0
0.0254,9.0,38.0
0.0255,4.0,36.0
0.0256,-8.0,34.0
0.0257,-9.0,34.0
0.0258,7.0,34.0
0.0259,12.0,32.0
0.026,-4.0,32.0
0.0262,-18.0,32.0
0.0263,-5.0,32.0
0.0264,21.0,32.0
0.0265,20.0,32.0
0.0267,-13.0,32.0
0.0268,-24.0,30.0
0.0269,0.0,30.0
0.027,10.0,28.0
0.0271,3.0,28.0
0.0273,7.0,26.0
0.0274,2.0,26.0
0.0275,-13.0,24.0
0.0276,-5.0,24.0
0.0277,9.0,24.0
0.0278,1.0,24.0
0.0279,-6.0,24.0
0.028,0.0,24.0
0.0281,1.0,22.0
0.0282,-2.0,22.0
0.0283,5.0,22.0
0.0284,6.0,22.0
0.0285,-6.0,22.0
0.0287,-10.0,20.0
0.0288,-2.0,20.0
0.0289,6.0,20.0
0.029,9.0,18.0
0.0291,0.0,18.0
0.0292,-9.0,18.0
0.0293,-1.0,18.0
0.0294,8.0,18.0
0.0295,-3.0,18.0
0.0296,-14.0,18.0
0.0297,2.0,18.0
0.0298,18.0,18.0
0.0299,6.0,18.0
0.03,-9.0,16.0
0.0302,-10.0,16.0
0.0303,-8.0,16.0
0.0304,5.0,16.0
0.0305,21.0,16.0
0.0306,6.0,16.0
0.0308,-16.0,16.0
0.0309,-14.0,16.0
0.031,-2.0,14.0
0.0311,8.0,14.0
0.0312,14.0,14.0
0.0313,3.0,14.0
0.0314,-10.0,14.0
0.0316,-8.0,14.0
0.0318,0.0,14.0
0.0319,4.0,14.0
0.032,7.0,14.0
0.0321,2.0,14.0
0.0323,-7.0,14.0
0.0324,-9.0,14.0
0.0326,2.0,14.0
0.0327,13.0,14.0
0.0329,4.0,14.0
0.0331,-12.0,14.0
0.0332,-9.0,14.0
0.0334,7.0,14.0
0.0335,11.0,14.0
0.0336,-3.0,14.0
0.0338,-7.0,14.0
0.0339,3.0,14.0
0.034,2.0,14.0
0.0341,-8.0,14.0
0.0342,0.0,14.0
0.0343,14.0,14.0
0.0344,5.0,14.0
0.0345,-11.0,14.0
0.0346,-14.0,16.0
0.0348,0.0,14.0
0.0349,17.0,14.0
0.035,13.0,14.0
0.0351,-9.0,14.0
0.0352,-18.0,16.0
0.0353,-5.0,16.0
0.0354,12.0,16.0
0.0356,16.0,16.0
0.0357,-1.0,16.0
0.0358,-17.0,16.0
0.0359,-7.0,16.0
0.036,8.0,16.0
0.0362,10.0,16.0
0.0362,1.0,14.0
0.0364,-10.0,14.0
0.0365,-10.0,14.0
0.0366,6.0,14.0
