Time_s,Raw_EMG,Envelope_EMG
0.0003,48.0,72.0
0.0005,46.0,72.0
0.0007,-5.0,72.0
0.0008,0.0,70.0
0.0009,7.0,70.0
0.0011,-33.0,70.0
0.0013,-12.0,70.0
0.0015,54.0,72.0
0.0016,-9.0,72.0
0.0018,-89.0,72.0
0.002,22.0,72.0
0.0022,121.0,74.0
0.0023,-2.0,74.0
0.0025,-105.0,76.0
0.0026,-15.0,76.0
0.0028,50.0,76.0
0.0029,-3.0,76.0
0.003,-4.0,76.0
0.0031,46.0,76.0
0.0033,-5.0,76.0
0.0034,-81.0,78.0
0.0035,2.0,78.0
0.0036,92.0,78.0
0.0037,-5.0,78.0
0.0039,-89.0,80.0
0.004,6.0,78.0
0.0041,77.0,80.0
0.0042,1.0,78.0
0.0043,-51.0,78.0
0.0045,-5.0,78.0
0.0046,24.0,76.0
0.0048,-2.0,76.0
0.0049,-16.0,74.0
0.005,8.0,74.0
0.0051,26.0,74.0
0.0052,-3.0,74.0
0.0054,-19.0,72.0
0.0055,6.0,72.0
0.0057,-19.0,72.0
0.0059,-33.0,72.0
0.0061,58.0,72.0
0.0062,60.0,72.0
0.0065,-66.0,72.0
0.0067,-44.0,74.0
0.0068,58.0,74.0
0.0072,-11.0,74.0
0.0074,-60.0,74.0
0.0076,63.0,74.0
0.0078,73.0,76.0
0.008,-79.0,76.0
0.0082,-82.0,78.0
0.0084,63.0,78.0
0.0086,78.0,78.0
0.0088,-42.0,80.0
0.009,-64.0,80.0
0.0091,34.0,80.0
0.0093,51.0,80.0
0.0094,-37.0,80.0
0.0096,-44.0,80.0
0.0098,49.0,82.0
0.0099,42.0,82.0
0.0101,-72.0,82.0
0.0103,-34.0,82.0
0.0105,105.0,84.0
0.0107,13.0,84.0
0.0109,-138.0,86.0
0.0111,19.0,86.0
0.0113,165.0,88.0
0.0115,-47.0,90.0
0.0116,-177.0,92.0
0.0118,51.0,92.0
0.0119,164.0,94.0
0.0121,-36.0,96.0
0.0122,-123.0,96.0
0.0124,29.0,98.0
0.0125,61.0,98.0
0.0126,-52.0,98.0
0.0128,10.0,98.0
0.0129,111.0,98.0
0.0131,-73.0,98.0
0.0133,-186.0,100.0
0.0135,89.0,100.0
0.0137,232.0,104.0
0.0139,-48.0,104.0
0.0143,-207.0,108.0
0.0147,-15.0,108.0
0.0149,115.0,108.0
0.0151,44.0,110.0
0.0152,-13.0,108.0
0.0154,-15.0,110.0
0.0156,-33.0,110.0
0.0157,-27.0,108.0
0.0159,23.0,108.0
0.016,36.0,108.0
0.0162,0.0,108.0
0.0163,-13.0,106.0
0.0165,-7.0,106.0
0.0166,-10.0,106.0
0.0167,5.0,106.0
0.0169,19.0,106.0
0.017,-5.0,104.0
0.0172,-12.0,104.0
0.0173,9.0,102.0
0.0175,-7.0,102.0
0.0176,-16.0,100.0
0.0178,28.0,100.0
0.0179,22.0,100.0
0.0181,-24.0,98.0
0.0182,-17.0,98.0
0.0183,-7.0,96.0
0.0185,-2.0,96.0
0.0186,37.0,94.0
0.0187,31.0,94.0
0.0188,-19.0,94.0
0.0191,-56.0,94.0
0.0193,-47.0,94.0
0.0195,63.0,94.0
0.0196,118.0,96.0
0.0199,-51.0,96.0
0.0202,-153.0,98.0
0.0203,21.0,98.0
0.0205,133.0,98.0
0.0206,16.0,98.0
0.0208,-71.0,98.0
0.021,-37.0,96.0
0.0211,6.0,96.0
0.0213,26.0,94.0
0.0216,23.0,94.0
0.0218,-3.0,94.0
0.022,-14.0,92.0
0.0222,-2.0,92.0
0.0224,-8.0,92.0
0.0225,-13.0,92.0
0.0226,12.0,92.0
0.0228,36.0,92.0
0.0229,15.0,92.0
0.0231,-38.0,92.0
0.0232,-55.0,92.0
0.0234,10.0,92.0
0.0236,73.0,92.0
0.0238,23.0,92.0
0.0239,-63.0,90.0
0.024,-38.0,92.0
0.0242,41.0,92.0
0.0243,34.0,92.0
0.0244,-17.0,92.0
0.0246,-20.0,92.0
0.0247,-2.0,92.0
0.0248,-1.0,90.0
0.025,12.0,90.0
0.0255,26.0,90.0
0.0259,-8.0,90.0
0.026,-52.0,88.0
0.0262,0.0,88.0
0.0264,82.0,88.0
0.0265,6.0,88.0
0.0267,-111.0,90.0
0.0269,-8.0,90.0
0.027,119.0,92.0
0.0271,1.0,92.0
0.0273,-101.0,92.0
0.0274,8.0,92.0
0.0275,70.0,94.0
0.0277,-13.0,94.0
0.0278,-37.0,94.0
0.0279,13.0,94.0
0.0281,10.0,94.0
0.0282,-9.0,94.0
0.0283,2.0,92.0
0.0284,5.0,92.0
0.0285,-1.0,90.0
0.0286,-7.0,90.0
0.0288,-14.0,90.0
0.0289,6.0,90.0
0.029,27.0,88.0
0.0291,13.0,88.0
0.0293,-15.0,88.0
0.0294,-43.0,86.0
0.0296,-28.0,86.0
0.0297,50.0,86.0
0.0298,77.0,86.0
0.03,-26.0,86.0
0.0301,-99.0,86.0
0.0302,-3.0,86.0
0.0304,82.0,86.0
0.0305,12.0,86.0
0.0306,-47.0,86.0
0.0307,-4.0,84.0
0.0308,20.0,84.0
0.031,6.0,84.0
0.0311,-3.0,82.0
0.0313,-17.0,82.0
0.0314,-8.0,82.0
0.0315,6.0,80.0
0.0317,2.0,80.0
0.0319,27.0,76.0
0.0321,29.0,76.0
0.0322,-49.0,74.0
0.0324,-64.0,74.0
0.0325,35.0,72.0
0.0326,63.0,74.0
0.0328,-6.0,72.0
0.033,-24.0,72.0
0.0331,-3.0,70.0
0.0333,-16.0,70.0
0.0334,-14.0,70.0
0.0335,22.0,68.0
0.0336,40.0,68.0
0.0338,11.0,66.0
0.034,-46.0,64.0
0.0341,-46.0,62.0
0.0342,25.0,62.0
0.0343,34.0,58.0
0.0345,-1.0,58.0
0.0346,24.0,56.0
0.0347,5.0,56.0
0.0349,-75.0,58.0
0.035,-27.0,58.0
0.0351,77.0,58.0
0.0353,35.0,58.0
0.0354,-41.0,58.0
0.0355,-15.0,58.0
0.0356,8.0,58.0
0.0358,-11.0,58.0
0.0359,3.0,58.0
0.036,21.0,58.0
0.0361,-4.0,58.0
0.0363,-13.0,58.0
0.0364,4.0,58.0
0.0365,-6.0,58.0
0.0366,-2.0,58.0
0.0367,35.0,58.0
0.0369,11.0,58.0
0.037,-58.0,58.0
0.0371,-37.0,60.0
0.0373,55.0,60.0
0.0374,64.0,60.0
0.0376,-32.0,60.0
0.0378,-62.0,62.0
0.038,20.0,62.0
0.0382,35.0,62.0
0.0384,-30.0,62.0
0.0386,-15.0,62.0
0.0387,42.0,60.0
0.039,18.0,60.0
0.0391,-34.0,58.0
0.0393,-30.0,58.0
0.0394,7.0,56.0
0.0395,39.0,56.0
0.0396,21.0,54.0
0.0397,-45.0,56.0
0.0399,-32.0,54.0
0.0401,51.0,54.0
0.0402,26.0,56.0
0.0404,-53.0,56.0
0.0405,-17.0,56.0
0.0407,47.0,56.0
0.0408,9.0,56.0
0.0409,-40.0,56.0
0.041,-3.0,56.0
0.0411,40.0,58.0
0.0412,1.0,56.0
0.0414,-43.0,58.0
0.0415,-8.0,56.0
0.0416,38.0,56.0
0.0417,14.0,56.0
0.0419,-18.0,56.0
0.042,-2.0,56.0
0.0421,-9.0,56.0
0.0423,-27.0,54.0
0.0424,23.0,54.0
0.0425,53.0,54.0
0.0427,-15.0,54.0
0.0428,-54.0,54.0
0.043,2.0,54.0
0.0431,38.0,56.0
0.0432,-2.0,56.0
0.0434,-23.0,56.0
0.0436,4.0,54.0
0.0437,15.0,56.0
0.0439,1.0,54.0
0.044,-3.0,54.0
0.0442,-6.0,54.0
0.0444,-12.0,54.0
0.0445,5.0,52.0
0.0447,26.0,52.0
0.0448,3.0,50.0
0.045,-35.0,50.0
0.0452,-22.0,50.0
0.0453,38.0,50.0
0.0454,40.0,50.0
0.0456,-33.0,50.0
0.0459,-37.0,50.0
0.0461,29.0,50.0
0.0463,13.0,50.0
0.0465,-30.0,50.0
0.0466,9.0,50.0
0.0468,28.0,50.0
0.047,-20.0,52.0
0.0472,-16.0,52.0
0.0474,30.0,52.0
0.0475,9.0,52.0
0.0477,-34.0,52.0
0.048,-23.0,52.0
0.0481,18.0,52.0
0.0483,41.0,52.0
0.0484,8.0,52.0
0.0485,-37.0,52.0
0.0487,-19.0,50.0
0.0488,13.0,50.0
0.0489,0.0,48.0
0.049,-4.0,48.0
0.0492,29.0,48.0
0.0493,30.0,48.0
0.0495,-36.0,48.0
0.0497,-58.0,48.0
0.0499,13.0,48.0
0.05,49.0,50.0
0.0502,3.0,50.0
0.0504,-9.0,50.0
0.0505,11.0,50.0
0.0507,-14.0,50.0
0.0509,-40.0,50.0
0.0511,0.0,50.0
0.0514,47.0,50.0
0.0517,28.0,50.0
0.0518,-26.0,48.0
0.052,-35.0,48.0
0.0521,1.0,48.0
0.0524,20.0,48.0
0.0525,10.0,48.0
0.0527,-3.0,48.0
0.0528,-14.0,48.0
0.053,-10.0,48.0
0.0531,15.0,48.0
0.0532,22.0,48.0
0.0534,-12.0,48.0
0.0535,-25.0,48.0
0.0536,16.0,46.0
0.0537,16.0,46.0
0.0539,-36.0,46.0
0.054,-4.0,46.0
0.0541,65.0,48.0
0.0542,0.0,48.0
0.0544,-79.0,48.0
0.0545,0.0,46.0
0.0546,62.0,46.0
0.0547,-1.0,46.0
0.0549,-18.0,46.0
0.055,27.0,46.0
0.0551,-15.0,46.0
0.0553,-77.0,46.0
0.0556,-6.0,46.0
0.056,121.0,48.0
0.0562,79.0,50.0
0.0564,-123.0,52.0
0.0566,-149.0,54.0
0.0568,87.0,54.0
0.0572,172.0,58.0
0.0574,-51.0,58.0
0.0576,-155.0,60.0
0.0577,26.0,60.0
0.0579,136.0,62.0
0.058,11.0,60.0
0.0582,-127.0,62.0
0.0583,-69.0,62.0
0.0585,100.0,62.0
0.0586,111.0,64.0
0.0587,-54.0,64.0
0.0589,-103.0,66.0
0.059,28.0,66.0
0.0591,61.0,66.0
0.0593,-44.0,66.0
0.0594,-34.0,66.0
0.0596,73.0,68.0
0.0597,40.0,68.0
0.0598,-86.0,68.0
0.06,-49.0,68.0
0.0601,98.0,70.0
0.0603,45.0,70.0
0.0604,-120.0,70.0
0.0606,-50.0,72.0
0.0607,119.0,72.0
0.0608,69.0,74.0
0.061,-72.0,74.0
0.0611,-71.0,74.0
0.0612,14.0,74.0
0.0616,39.0,74.0
0.062,14.0,74.0
0.0626,10.0,74.0
0.0628,-7.0,74.0
0.063,-57.0,74.0
0.0632,-28.0,74.0
0.0634,87.0,76.0
0.0635,80.0,76.0
0.0637,-75.0,78.0
0.0638,-113.0,80.0
0.064,20.0,80.0
0.0641,85.0,80.0
0.0642,31.0,80.0
0.0643,-9.0,80.0
0.0645,-31.0,80.0
0.0646,-50.0,80.0
0.0648,-10.0,80.0
0.0649,48.0,80.0
0.065,40.0,80.0
0.0651,0.0,80.0
0.0653,-23.0,80.0
0.0654,-39.0,82.0
0.0656,-24.0,82.0
0.0657,36.0,82.0
0.0658,57.0,82.0
0.066,-10.0,82.0
0.0661,-54.0,84.0
0.0662,0.0,84.0
0.0676,29.0,84.0
0.0726,-13.0,84.0
0.0782,-10.0,82.0
0.0826,15.0,82.0
0.0875,7.0,82.0
0.0928,12.0,82.0
0.0977,-8.0,82.0
0.1026,-53.0,82.0
0.1076,2.0,82.0
0.1125,72.0,82.0
0.1176,5.0,82.0
0.1226,-61.0,82.0
0.1277,-8.0,82.0
0.1328,50.0,82.0
0.1375,23.0,82.0
0.1426,-58.0,84.0
0.1482,-60.0,84.0
0.1533,63.0,84.0
0.1575,90.0,86.0
0.1627,-46.0,86.0
0.1675,-77.0,86.0
0.1725,25.0,86.0
0.1776,32.0,86.0
0.1829,-28.0,88.0
0.1876,-4.0,88.0
0.1926,60.0,88.0
0.1975,25.0,88.0
0.2025,-93.0,88.0
0.2078,-79.0,90.0
0.2127,86.0,90.0
0.2177,119.0,92.0
0.2228,-27.0,92.0
0.2276,-109.0,94.0
0.2328,-40.0,94.0
0.2379,50.0,94.0
0.2426,61.0,94.0
0.2477,9.0,94.0
0.2525,-29.0,94.0
0.2575,-22.0,94.0
0.2628,-8.0,94.0
0.2678,-1.0,94.0
0.2727,18.0,94.0
0.2776,28.0,94.0
0.2827,-7.0,94.0
0.2875,-57.0,94.0
0.2926,-2.0,94.0
0.2977,94.0,96.0
0.3026,5.0,96.0
0.3076,-118.0,98.0
0.3126,-6.0,98.0
0.3177,102.0,98.0
0.3226,0.0,98.0
0.3278,-63.0,98.0
0.3326,22.0,98.0
0.3375,42.0,100.0
0.3426,-47.0,98.0
0.3478,-41.0,100.0
0.3528,57.0,100.0
0.3578,26.0,100.0
0.3627,-47.0,100.0
0.3676,16.0,100.0
0.3725,21.0,100.0
0.378,-64.0,100.0
0.3827,11.0,100.0
0.3877,88.0,100.0
0.3926,-38.0,100.0
0.3976,-78.0,100.0
0.4027,55.0,100.0
0.4076,41.0,98.0
0.4126,-65.0,98.0
0.4176,-8.0,96.0
0.4228,60.0,94.0
0.4279,0.0,94.0
0.4328,-38.0,92.0
0.4376,4.0,92.0
0.4427,19.0,90.0
0.4477,-14.0,90.0
0.4527,-17.0,88.0
0.4576,21.0,86.0
0.4628,16.0,86.0
0.4679,-17.0,84.0
0.4727,0.0,84.0
0.4776,10.0,82.0
0.4826,-29.0,82.0
0.4876,-10.0,82.0
0.4927,50.0,82.0
0.4978,16.0,80.0
0.5028,-59.0,80.0
0.5076,-13.0,80.0
0.5126,61.0,80.0
0.5176,-11.0,80.0
0.5227,-52.0,78.0
0.5278,61.0,78.0
0.5326,36.0,78.0
0.5377,-108.0,78.0
0.5427,-25.0,76.0
0.5477,121.0,78.0
0.5526,8.0,76.0
0.5579,-117.0,78.0
0.5627,38.0,78.0
0.5677,137.0,80.0
0.5726,-87.0,80.0
0.5781,-165.0,82.0
0.5828,76.0,84.0
0.5878,116.0,84.0
0.5929,-24.0,84.0
0.5975,28.0,84.0
0.6027,28.0,84.0
0.6077,-152.0,84.0
0.6127,-112.0,84.0
0.6177,146.0,86.0
0.6226,178.0,88.0
0.6275,-51.0,88.0
0.6325,-147.0,90.0
0.6376,0.0,90.0
0.6427,74.0,90.0
0.6477,-38.0,90.0
0.6525,-53.0,90.0
0.6575,89.0,92.0
0.6627,79.0,92.0
0.6677,-93.0,94.0
0.6727,-75.0,94.0
0.6777,74.0,96.0
0.6826,28.0,94.0
0.6875,-76.0,96.0
0.6927,9.0,96.0
0.6977,85.0,96.0
0.7027,-6.0,96.0
0.7082,-62.0,96.0
0.7127,-12.0,96.0
0.7187,7.0,96.0
0.7227,5.0,96.0
0.728,29.0,96.0
