Time_s,Raw_EMG,Envelope_EMG
0.0005,-210.0,222.0
0.0008,140.0,220.0
0.001,174.0,220.0
0.0015,-74.0,218.0
0.0018,-128.0,218.0
0.0021,70.0,216.0
0.0023,96.0,216.0
0.0026,-128.0,214.0
0.0028,-106.0,214.0
0.003,189.0,214.0
0.0031,152.0,216.0
0.0033,-163.0,216.0
0.0034,-160.0,216.0
0.0036,50.0,214.0
0.0037,68.0,212.0
0.0038,32.0,210.0
0.004,79.0,210.0
0.0041,1.0,208.0
0.0042,-170.0,212.0
0.0044,-96.0,210.0
0.0045,130.0,212.0
0.0047,120.0,212.0
0.0048,-2.0,210.0
0.0049,-14.0,210.0
0.0051,-86.0,210.0
0.0053,-134.0,210.0
0.0054,69.0,210.0
0.0055,195.0,212.0
0.0057,-16.0,210.0
0.0058,-149.0,210.0
0.006,15.0,208.0
0.0061,87.0,208.0
0.0062,-76.0,208.0
0.0064,-97.0,206.0
0.0066,125.0,208.0
0.0068,181.0,208.0
0.0069,-97.0,208.0
0.0071,-260.0,212.0
0.0072,10.0,210.0
0.0074,254.0,212.0
0.0076,55.0,212.0
0.0078,-152.0,212.0
0.008,-54.0,212.0
0.0082,19.0,210.0
0.0084,-8.0,210.0
0.0086,44.0,210.0
0.0087,96.0,210.0
0.0089,18.0,210.0
0.0091,-139.0,210.0
0.0092,-127.0,212.0
0.0094,105.0,214.0
0.0095,153.0,214.0
0.0097,-61.0,214.0
0.0098,-74.0,212.0
0.01,40.0,212.0
0.0102,-57.0,210.0
0.0104,-25.0,210.0
0.0106,181.0,210.0
0.0107,52.0,210.0
0.0109,-191.0,214.0
0.011,-126.0,212.0
0.0112,16.0,212.0
0.0113,135.0,210.0
0.0115,226.0,212.0
0.0116,21.0,208.0
0.0117,-315.0,212.0
0.0119,-234.0,212.0
0.0121,174.0,214.0
0.0122,287.0,216.0
0.0123,35.0,216.0
0.0125,-151.0,216.0
0.0127,-141.0,214.0
0.0129,8.0,212.0
0.013,139.0,210.0
0.0132,18.0,210.0
0.0134,-118.0,208.0
0.0137,14.0,208.0
0.0139,109.0,210.0
0.0141,-12.0,208.0
0.0143,-82.0,208.0
0.0146,-26.0,208.0
0.0147,48.0,208.0
0.0148,62.0,208.0
0.015,-56.0,208.0
0.0151,-112.0,210.0
0.0153,78.0,210.0
0.0154,174.0,210.0
0.0156,-24.0,210.0
0.0157,-150.0,208.0
0.0159,-82.0,208.0
0.016,-11.0,206.0
0.0161,113.0,206.0
0.0163,197.0,208.0
0.0164,-25.0,206.0
0.0166,-248.0,210.0
0.0167,-76.0,210.0
0.0169,150.0,212.0
0.017,97.0,214.0
0.0172,-21.0,212.0
0.0173,-58.0,212.0
0.0174,-41.0,210.0
0.0176,44.0,208.0
0.0177,45.0,208.0
0.0178,-93.0,206.0
0.018,-52.0,206.0
0.0181,147.0,206.0
0.0183,104.0,204.0
0.0184,-114.0,206.0
0.0186,-155.0,208.0
0.0187,13.0,206.0
0.0189,145.0,206.0
0.019,38.0,204.0
0.0192,-99.0,204.0
0.0193,-6.0,202.0
0.0195,53.0,202.0
0.0198,-40.0,200.0
0.0199,4.0,200.0
0.0202,71.0,198.0
0.0208,-39.0,200.0
0.021,-83.0,200.0
0.0212,10.0,200.0
0.0214,57.0,198.0
0.0216,35.0,198.0
0.0217,-15.0,196.0
0.0219,-35.0,194.0
0.022,21.0,190.0
0.0221,-5.0,186.0
0.0223,-95.0,184.0
0.0224,37.0,182.0
0.0225,163.0,182.0
0.0227,-49.0,180.0
0.0228,-148.0,182.0
0.023,74.0,180.0
0.0231,81.0,180.0
0.0232,-96.0,180.0
0.0234,-14.0,180.0
0.0235,43.0,178.0
0.0237,-88.0,176.0
0.0238,70.0,176.0
0.0239,229.0,176.0
0.0241,-137.0,176.0
0.0243,-316.0,180.0
0.0244,107.0,180.0
0.0246,276.0,184.0
0.0247,-33.0,184.0
0.0249,-123.0,186.0
0.025,-16.0,184.0
0.0251,-66.0,182.0
0.0253,19.0,182.0
0.0254,203.0,182.0
0.0256,11.0,182.0
0.0259,-242.0,186.0
0.0261,-54.0,186.0
0.0263,179.0,186.0
0.0265,80.0,186.0
0.0267,-53.0,184.0
0.0269,-65.0,184.0
0.027,-49.0,184.0
0.0272,41.0,184.0
0.0273,63.0,184.0
0.0275,-37.0,182.0
0.0276,-2.0,182.0
0.0278,47.0,180.0
0.0279,-75.0,178.0
0.0281,-62.0,178.0
0.0282,106.0,176.0
0.0284,69.0,176.0
0.0285,-52.0,174.0
0.0287,-28.0,172.0
0.0289,-43.0,172.0
0.029,-67.0,172.0
0.0292,96.0,172.0
0.0293,178.0,176.0
0.0294,-54.0,176.0
0.0296,-235.0,178.0
0.0297,-48.0,178.0
0.0299,174.0,178.0
0.03,105.0,178.0
0.0301,-24.0,176.0
0.0303,-55.0,176.0
0.0304,-80.0,176.0
0.0306,-29.0,176.0
0.0307,73.0,176.0
0.0308,40.0,176.0
0.031,-33.0,176.0
0.0311,43.0,174.0
0.0312,63.0,174.0
0.0314,-143.0,172.0
0.0315,-169.0,174.0
0.0317,156.0,176.0
0.032,263.0,178.0
0.0322,-54.0,174.0
0.0325,-253.0,178.0
0.0328,-73.0,174.0
0.0329,136.0,174.0
0.0331,122.0,172.0
0.0332,14.0,168.0
0.0334,-99.0,170.0
0.0335,-142.0,168.0
