Time_s,Raw_EMG,Envelope_EMG
0.0004,-68.0,58.0
0.0006,50.0,58.0
0.0007,113.0,60.0
0.0008,8.0,60.0
0.001,-94.0,60.0
0.0011,-67.0,60.0
0.0012,25.0,60.0
0.0014,75.0,62.0
0.0015,35.0,62.0
0.0016,-38.0,62.0
0.0018,-49.0,62.0
0.0019,-1.0,62.0
0.002,26.0,62.0
0.0021,18.0,62.0
0.0022,2.0,62.0
0.0024,-16.0,62.0
0.0026,-22.0,62.0
0.0027,14.0,62.0
0.0028,36.0,62.0
0.0031,-15.0,60.0
0.0033,-49.0,62.0
0.0034,10.0,62.0
0.0036,51.0,62.0
0.0038,1.0,62.0
0.0039,-37.0,62.0
0.004,-7.0,62.0
0.0042,19.0,62.0
0.0043,1.0,62.0
0.0044,-10.0,62.0
0.0045,9.0,62.0
0.0046,12.0,62.0
0.0048,-17.0,62.0
0.0049,-12.0,60.0
0.005,29.0,62.0
0.0051,7.0,60.0
0.0054,-46.0,60.0
0.0055,-9.0,60.0
0.0057,56.0,62.0
0.0058,16.0,62.0
0.0059,-50.0,62.0
0.0061,-14.0,62.0
0.0062,35.0,62.0
0.0064,4.0,62.0
0.0065,-20.0,62.0
0.0066,7.0,62.0
0.0067,3.0,62.0
0.0068,-17.0,62.0
0.007,19.0,62.0
0.0071,31.0,62.0
0.0072,-41.0,62.0
0.0074,-41.0,62.0
0.0075,52.0,62.0
0.0076,42.0,62.0
0.0078,-45.0,64.0
0.0079,-41.0,64.0
0.0081,17.0,64.0
0.0082,39.0,64.0
0.0084,22.0,64.0
0.0089,-25.0,62.0
0.0092,-48.0,62.0
0.0093,2.0,58.0
0.0095,42.0,58.0
0.0097,17.0,56.0
0.0099,-14.0,54.0
0.0102,-31.0,52.0
0.0103,-22.0,52.0
0.0104,32.0,50.0
0.0105,48.0,52.0
0.0107,-17.0,52.0
0.0108,-47.0,52.0
0.011,-2.0,52.0
0.0111,23.0,52.0
0.0112,7.0,50.0
0.0113,1.0,50.0
0.0114,3.0,50.0
0.0115,-2.0,48.0
0.0117,-11.0,48.0
0.0118,-4.0,48.0
0.0119,8.0,48.0
0.012,-5.0,48.0
0.0122,-14.0,48.0
0.0123,27.0,48.0
0.0124,34.0,48.0
0.0125,-31.0,48.0
0.0127,-50.0,48.0
0.0128,12.0,48.0
0.013,45.0,50.0
0.0131,10.0,50.0
0.0133,-25.0,50.0
0.0134,-18.0,50.0
0.0135,1.0,48.0
0.0136,4.0,48.0
0.0138,21.0,48.0
0.0139,29.0,48.0
0.0141,-38.0,48.0
0.0142,-64.0,50.0
0.0143,35.0,50.0
0.0145,73.0,52.0
0.0146,-14.0,52.0
0.0151,-44.0,52.0
0.0153,3.0,52.0
0.0154,1.0,52.0
0.0156,-12.0,52.0
0.0159,17.0,52.0
0.0161,20.0,52.0
0.0162,-4.0,50.0
0.0163,0.0,50.0
0.0164,-8.0,50.0
0.0166,-36.0,50.0
0.0167,-4.0,50.0
0.0169,52.0,50.0
0.017,30.0,50.0
0.0171,-35.0,50.0
0.0172,-36.0,52.0
0.0173,9.0,52.0
0.0174,19.0,52.0
0.0175,-2.0,50.0
0.0176,-2.0,50.0
0.0178,15.0,50.0
0.0179,5.0,50.0
0.0181,-28.0,50.0
0.0182,-27.0,50.0
0.0183,28.0,50.0
0.0185,54.0,50.0
0.0187,-15.0,50.0
0.0188,-76.0,50.0
0.0189,-12.0,50.0
0.019,77.0,52.0
0.0191,41.0,50.0
0.0192,-57.0,50.0
0.0194,-37.0,50.0
0.0195,36.0,50.0
0.0196,-8.0,48.0
0.0197,-18.0,48.0
0.0198,76.0,48.0
0.02,-7.0,48.0
0.0201,-145.0,50.0
0.0202,50.0,50.0
0.0203,207.0,52.0
0.0205,-87.0,54.0
0.0207,-252.0,56.0
0.0208,70.0,58.0
0.021,239.0,62.0
0.0212,-12.0,62.0
0.0214,-145.0,64.0
0.0216,-12.0,64.0
0.0217,23.0,64.0
0.0219,-34.0,64.0
0.022,59.0,64.0
0.0221,121.0,66.0
0.0223,-79.0,66.0
0.0224,-185.0,68.0
0.0225,61.0,68.0
0.0227,199.0,72.0
0.0228,-43.0,72.0
0.023,-180.0,76.0
0.0231,31.0,76.0
0.0232,146.0,78.0
0.0233,-14.0,78.0
0.0235,-105.0,80.0
0.0236,2.0,78.0
0.0237,62.0,80.0
0.0238,-9.0,80.0
0.024,-14.0,78.0
0.0241,50.0,80.0
0.0242,-40.0,80.0
0.0243,-118.0,80.0
0.0244,84.0,82.0
0.0246,182.0,84.0
0.0247,-97.0,86.0
0.0248,-211.0,88.0
0.0249,74.0,90.0
0.0251,195.0,92.0
0.0252,-25.0,92.0
0.0253,-138.0,94.0
0.0255,-19.0,94.0
0.0256,56.0,94.0
0.0258,28.0,94.0
0.026,39.0,94.0
0.0262,27.0,94.0
0.0264,-125.0,96.0
0.0265,-144.0,96.0
0.0268,166.0,98.0
0.0272,269.0,102.0
0.0275,-144.0,104.0
0.0277,-331.0,110.0
0.028,71.0,110.0
0.0282,285.0,114.0
0.0283,8.0,114.0
0.0285,-150.0,116.0
0.0286,-34.0,116.0
0.0287,3.0,116.0
0.0289,-17.0,116.0
0.029,101.0,116.0
0.0292,126.0,118.0
0.0293,-148.0,120.0
0.0295,-243.0,124.0
0.0296,144.0,124.0
0.0298,307.0,130.0
0.0299,-117.0,130.0
0.0301,-295.0,136.0
0.0302,88.0,136.0
0.0304,225.0,140.0
0.0305,-61.0,142.0
0.0307,-132.0,144.0
0.0308,45.0,144.0
0.031,40.0,144.0
0.0311,-61.0,146.0
0.0312,51.0,146.0
0.0314,134.0,148.0
0.0315,-133.0,148.0
0.0317,-249.0,152.0
0.0318,164.0,154.0
0.032,335.0,160.0
0.0321,-134.0,160.0
0.0323,-336.0,166.0
0.0324,76.0,166.0
0.0325,256.0,170.0
0.0327,-28.0,170.0
0.0332,-142.0,172.0
0.0335,20.0,172.0
0.0339,39.0,172.0
0.0341,-61.0,174.0
0.0343,48.0,172.0
0.0345,150.0,174.0
0.0347,-115.0,176.0
0.0349,-262.0,180.0
0.035,126.0,180.0
0.0352,323.0,186.0
0.0353,-86.0,186.0
0.0355,-288.0,192.0
0.0356,44.0,192.0
0.0357,193.0,194.0
0.0359,-29.0,194.0
0.036,-100.0,196.0
0.0362,33.0,196.0
0.0363,33.0,196.0
0.0364,-50.0,198.0
0.0366,43.0,198.0
0.0367,112.0,198.0
0.0369,-127.0,200.0
0.037,-222.0,202.0
0.0372,144.0,204.0
0.0373,293.0,210.0
0.0375,-81.0,210.0
0.0376,-250.0,214.0
0.0378,19.0,214.0
0.0379,135.0,216.0
0.0381,-10.0,216.0
0.0382,-39.0,216.0
0.0383,28.0,216.0
0.0385,0.0,216.0
0.0386,-31.0,216.0
0.0387,11.0,214.0
0.0389,22.0,214.0
0.0391,-22.0,214.0
0.0393,-23.0,214.0
0.0397,27.0,214.0
0.0399,32.0,214.0
0.0401,-11.0,212.0
0.0403,-29.0,214.0
0.0404,-10.0,212.0
0.0405,7.0,212.0
0.0407,14.0,212.0
0.0408,11.0,210.0
0.0409,2.0,210.0
0.041,-8.0,206.0
0.0412,-18.0,204.0
0.0413,-3.0,202.0
0.0415,21.0,200.0
0.0416,4.0,196.0
0.0418,-22.0,196.0
0.0419,1.0,194.0
0.042,21.0,194.0
0.0421,0.0,194.0
0.0422,-9.0,194.0
0.0424,-3.0,194.0
0.0425,-9.0,192.0
0.0426,-5.0,190.0
0.0428,17.0,188.0
0.0429,15.0,186.0
0.0431,-8.0,184.0
0.0432,-11.0,184.0
0.0433,0.0,180.0
0.0434,0.0,180.0
0.0436,-6.0,178.0
0.0437,0.0,178.0
0.0438,13.0,176.0
0.0439,9.0,176.0
0.0441,-10.0,176.0
0.0442,-16.0,176.0
0.0443,4.0,176.0
0.0445,13.0,174.0
0.0446,0.0,174.0
0.0447,-6.0,172.0
0.0449,0.0,172.0
0.045,0.0,168.0
0.0452,0.0,166.0
0.0453,6.0,164.0
0.0455,1.0,162.0
0.0457,-13.0,160.0
0.0458,-7.0,160.0
0.046,15.0,158.0
0.0463,18.0,158.0
0.0465,-4.0,156.0
0.0467,-25.0,156.0
0.0468,-21.0,156.0
0.047,13.0,156.0
0.0474,43.0,154.0
0.0476,17.0,152.0
0.0477,-38.0,150.0
0.0479,-46.0,148.0
0.048,9.0,146.0
0.0482,51.0,140.0
0.0483,23.0,140.0
0.0485,-33.0,136.0
0.0486,-35.0,136.0
0.0487,9.0,134.0
0.0488,23.0,134.0
0.0489,4.0,134.0
0.049,0.0,134.0
