rms,mav,wl,zcr,mdf,label
198.54304319215015,197.91,24255.0,91,42.0,0
194.30877489192298,193.61,23921.0,91,43.0,0
190.6899577848818,189.97,23738.0,91,43.0,0
188.62306327700227,188.01,24767.0,89,43.0,0
188.03754944159425,187.48,25139.0,91,43.0,0
189.4590720973794,188.71,26411.0,93,43.0,0
193.3488556987085,192.07,28461.0,92,46.0,0
199.7866862431028,197.98,29302.0,90,47.0,0
208.5070262605076,205.95,30417.0,94,48.0,0
216.12177123094287,213.49,30255.0,96,48.0,0
222.66027934950588,220.38,31394.0,96,48.0,0
229.33734977103055,227.63,32180.0,96,49.0,0
234.88729212113626,233.92,32186.0,97,50.0,0
237.8304017572186,237.27,31758.0,97,50.0,0
239.20280098694496,238.79,30886.0,97,49.0,0
238.40780188576045,237.92,31824.0,98,48.0,0
237.55378338388974,237.06,30922.0,97,45.0,0
235.60038200308588,235.09,30396.0,96,43.0,0
230.60910649842083,230.22,28574.0,93,43.0,0
226.41908046805597,226.08,28237.0,93,46.0,0
221.9836029980593,221.56,26411.0,91,47.0,0
216.30108645127052,215.78,24694.0,90,47.0,0
209.62418753569446,208.69,23579.0,91,45.0,0
202.2400059335442,200.41,21440.0,92,41.0,0
194.02917306425857,191.12,21715.0,89,36.0,0
187.25095460370824,183.8,20518.0,88,37.0,0
180.17086334921083,177.15,23297.0,90,39.0,0
174.5082806058211,172.09,22750.0,89,43.0,0
171.82258291621622,169.8,22513.0,87,46.0,0
170.17214813241327,168.42,23104.0,90,47.0,0
170.92173647608428,169.06,22936.0,93,48.0,0
171.54101550358152,169.62,24774.0,93,48.0,0
173.5942395357634,171.64,25690.0,92,48.0,0
175.88155105070004,174.22,27026.0,93,47.0,0
180.75386579545125,179.78,28634.0,97,47.0,0
186.81204457957202,186.25,28298.0,97,50.0,0
192.80082987373265,192.16,26634.0,97,51.0,0
200.40503985678603,199.31,27301.0,96,53.0,0
206.31422636357388,204.8,28074.0,99,53.0,0
214.43922215863404,212.09,31056.0,97,50.0,0
223.42166412413994,220.14,32532.0,97,47.0,0
230.85358996558836,227.51,31440.0,96,47.0,0
237.4906313941668,234.56,32646.0,97,47.0,0
244.32380154213385,242.48,34262.0,95,49.0,0
250.61891389119057,249.58,33433.0,94,49.0,0
256.85322657112954,256.23,35316.0,95,49.0,0
257.7535256790875,257.24,33347.0,97,50.0,0
255.0593656386685,254.24,32091.0,95,50.0,0
252.35728640164126,251.28,32015.0,93,50.0,0
248.20870250658012,247.14,31016.0,92,50.0,0
241.4463501484336,240.55,29342.0,90,50.0,0
234.38831028871726,233.2,29051.0,90,45.0,0
227.1873676065639,225.57,28070.0,89,45.0,0
221.69506083808,219.95,26973.0,90,44.0,0
216.45507617055324,214.96,26928.0,89,43.0,0
209.84079679604727,209.14,26882.0,90,43.0,0
209.78303077227196,209.1,30777.0,89,46.0,0
214.04406088466925,212.95,31766.0,93,47.0,0
220.88562651290826,218.97,34142.0,95,48.0,0
227.64366892140885,224.86,32680.0,96,49.0,0
234.17433676643563,230.93,34689.0,97,51.0,0
242.83607639722726,239.7,36325.0,96,50.0,0
249.8715269893711,247.57,36205.0,95,49.0,0
252.82199271424153,251.1,34177.0,94,49.0,0
252.6496388281606,250.86,32890.0,94,48.0,0
251.2337158902045,249.11,31014.0,90,47.0,0
248.41775298879102,245.85,29098.0,89,46.0,0
243.5881360000934,240.63,28223.0,88,45.0,0
234.47076576835758,231.13,24875.0,89,45.0,0
223.0430451728993,219.78,25297.0,88,45.0,0
217.09762780832037,214.53,28252.0,88,43.0,0
211.66615223034597,210.0,26853.0,89,43.0,0
208.68603211523285,207.49,28484.0,91,45.0,0
210.17088285488074,208.84,30611.0,93,46.0,0
214.5525576636177,213.02,31250.0,94,47.0,0
223.81005339349704,221.53,32703.0,98,47.0,0
230.78037178235067,228.27,31784.0,97,48.0,0
232.74776046183558,230.42,31005.0,95,50.0,0
236.41167483861707,234.66,32837.0,95,50.0,0
240.5706964698735,239.65,33905.0,95,50.0,0
240.50925138131382,239.67,31889.0,98,50.0,0
238.9676965616901,238.02,32808.0,100,45.0,0
237.75706088358342,236.75,32259.0,97,48.0,0
236.4165391845503,235.39,31521.0,94,49.0,0
235.72679101027106,234.72,31692.0,93,49.0,0
231.87091236289214,231.32,30854.0,91,49.0,0
229.02427818901646,228.8,31504.0,94,49.0,0
232.4355824739405,232.07,33855.0,98,49.0,0
234.87920299592298,234.48,33358.0,97,48.0,0
237.571757580736,237.17,31839.0,94,45.0,0
239.6826652054754,239.29,30693.0,91,45.0,0
241.54324664539888,241.27,29915.0,91,45.0,0
242.43646590395596,242.22,29762.0,92,45.0,0
241.6058774119537,241.28,29955.0,94,45.0,0
237.8472198702352,237.13,28713.0,93,47.0,0
233.5122694849245,232.55,28742.0,92,48.0,0
229.57164459052865,228.41,29378.0,93,48.0,0
224.91180493695745,223.88,29214.0,89,48.0,0
223.14161422737803,222.23,29831.0,90,48.0,0
221.8390407480162,221.0,32522.0,92,48.0,0
223.82703143275614,222.73,31922.0,92,46.0,0
226.89195666660376,225.48,32174.0,90,45.0,0
231.0192199796372,229.28,32120.0,88,44.0,0
236.91665201078627,234.93,33961.0,88,44.0,0
244.56855889504683,242.75,35255.0,90,44.0,0
253.07623357399643,251.43,36773.0,91,43.0,0
259.4371214764764,258.37,36217.0,92,43.0,0
264.8032477142227,264.24,35531.0,92,47.0,0
268.5167406326838,268.18,34395.0,92,49.0,0
271.9193630472093,271.81,33579.0,94,50.0,0
271.8081308570441,271.69,34893.0,94,47.0,0
270.2504024048808,270.04,34611.0,94,46.0,0
267.0713762274048,266.64,33985.0,94,46.0,0
262.9505276663274,262.31,32362.0,93,47.0,0
259.24289768477746,258.52,33110.0,94,46.0,0
254.11859436097942,253.51,31028.0,92,44.0,0
251.3375817501235,250.77,31349.0,90,41.0,0
248.1595454541292,247.64,31369.0,91,41.0,0
244.59493044623798,244.18,30978.0,91,43.0,0
239.57395517877146,239.32,28900.0,92,46.0,0
234.38690236444526,234.15,27495.0,92,46.0,0
229.18027838363403,228.72,26753.0,92,46.0,0
224.44700933627965,223.55,27257.0,95,46.0,0
219.73638751922724,218.44,27951.0,96,46.0,0
213.66136758899583,212.01,25829.0,92,46.0,0
207.73324240477257,205.97,25208.0,93,46.0,0
202.86049393610378,201.39,27131.0,94,46.0,0
200.69907822409152,199.48,26929.0,96,47.0,0
197.7401324971742,196.84,26630.0,97,48.0,0
195.9612716839733,195.23,27337.0,97,48.0,0
195.23539638088172,194.57,27843.0,98,49.0,0
196.5163606420595,195.82,27949.0,97,49.0,0
199.09937217379667,198.42,29582.0,97,48.0,0
203.03704095558524,202.38,29170.0,98,47.0,0
208.11934076389923,207.63,30691.0,99,47.0,0
214.9556233272347,214.48,33194.0,101,50.0,0
221.26382442685926,220.56,31752.0,99,50.0,0
228.31097214106904,226.87,35184.0,97,50.0,0
238.19412251354987,235.9,35826.0,94,50.0,0
245.2721753481222,242.88,36534.0,96,50.0,0
251.4241834032677,249.3,36824.0,93,50.0,0
257.5494515622194,255.8,37369.0,91,50.0,0
262.8460385853285,261.62,36600.0,91,50.0,0
267.35324946594534,266.54,38704.0,92,48.0,0
269.7606346374504,269.26,37569.0,91,45.0,0
270.3731125685392,269.93,35422.0,90,47.0,0
269.31275498943603,268.8,33781.0,91,48.0,0
264.94807038361307,264.32,30083.0,91,48.0,0
257.92820706545456,257.42,31819.0,94,48.0,0
252.32835750267944,251.74,31628.0,94,48.0,0
247.26621281525706,246.53,34163.0,96,48.0,0
244.4864413418462,243.89,35795.0,98,48.0,0
245.003510178936,244.36,37244.0,99,49.0,0
248.058380225301,247.04,36298.0,100,50.0,0
254.30367673315303,252.64,37070.0,100,51.0,0
259.90221237996417,257.82,38022.0,101,52.0,0
268.3368032901935,265.64,41126.0,101,52.0,0
