rms,mav,wl,zcr,mdf,label
260.9179564537481,256.91,32148.0,102,52.0,0
248.39875200974743,245.33,31144.0,102,53.0,0
239.04777765124695,236.76,31159.0,101,53.0,0
229.79904264378473,228.4,27987.0,98,52.0,0
219.33814077811456,218.67,26288.0,96,51.0,0
211.12441829404764,210.4,26141.0,97,51.0,0
204.54930945862418,203.51,25512.0,97,50.0,0
197.7780068662843,195.69,22965.0,94,50.0,0
188.97042096582206,185.57,21102.0,94,49.0,0
180.63117117485564,176.15,21698.0,96,49.0,0
173.4962823809202,168.66,20434.0,96,51.0,0
165.71547905974262,161.37,20075.0,97,52.0,0
156.65248162732692,153.38,19187.0,98,52.0,0
147.37822091476067,145.45,18682.0,98,51.0,0
142.12593007611244,141.03,20111.0,99,50.0,0
140.4971885839713,139.63,20372.0,100,50.0,0
139.23483759461925,138.53,21212.0,101,50.0,0
139.7499910554559,139.07,21439.0,102,49.0,0
141.35147682284753,140.86,21098.0,98,49.0,0
143.4159684275081,143.17,19942.0,100,48.0,0
144.3111222324877,144.13,18872.0,97,48.0,0
143.61907951243805,143.42,18076.0,94,48.0,0
142.1350765996909,141.85,18228.0,91,46.0,0
140.82293847239518,140.43,18511.0,96,41.0,0
138.84991897729,138.45,17808.0,96,38.0,0
135.66296473245748,135.38,16590.0,97,38.0,0
132.95111883696202,132.78,15456.0,93,40.0,0
130.68228648137438,130.47,15601.0,92,48.0,0
130.1115675103486,129.89,18408.0,94,52.0,0
131.57340156733807,131.2,19511.0,92,52.0,0
134.0889257172269,133.4,20151.0,96,50.0,0
137.57732371288517,136.5,20920.0,98,50.0,0
143.0652298778428,141.55,21883.0,100,50.0,0
150.56978448546707,148.49,23076.0,97,50.0,0
158.1806562130781,155.62,23112.0,96,50.0,0
163.0478457386052,160.72,22737.0,93,50.0,0
165.86072470600143,163.95,23489.0,94,50.0,0
168.97135851972072,167.76,24729.0,97,50.0,0
171.04379556125383,170.25,21868.0,96,50.0,0
170.13970729961892,169.2,20907.0,94,49.0,0
166.81282924283732,165.28,19390.0,94,49.0,0
161.85703568272837,159.43,18137.0,92,48.0,0
155.9361407756393,152.96,17372.0,92,48.0,0
148.13223821977442,145.32,16335.0,93,48.0,0
138.0325323972577,135.89,15542.0,95,47.0,0
129.87031993492585,128.03,15121.0,95,47.0,0
123.52457245422872,121.74,14564.0,95,47.0,0
118.00093219970763,116.61,13525.0,95,50.0,0
114.07024151811024,113.31,14994.0,98,50.0,0
112.3575542631647,111.87,15753.0,100,49.0,0
113.39955908203522,112.79,17202.0,99,49.0,0
117.41984500074935,116.39,18822.0,101,49.0,0
123.10345242924748,121.35,18680.0,99,49.0,0
128.49186744693222,126.16,18762.0,100,50.0,0
134.5385446628586,132.03,19585.0,97,49.0,0
139.3218575816444,137.25,20307.0,97,49.0,0
143.93741695612022,142.57,20812.0,99,49.0,0
147.19667115801226,146.41,20536.0,98,46.0,0
148.17698876681223,147.55,19267.0,98,47.0,0
148.5683681003463,148.0,18330.0,97,50.0,0
147.82726406180967,147.15,18028.0,97,50.0,0
145.85924722142232,145.04,16497.0,100,51.0,0
141.89376307646506,141.04,16782.0,101,50.0,0
137.26543629042237,136.5,16481.0,96,50.0,0
132.7619674455,132.27,16403.0,97,49.0,0
129.4564019274443,129.08,17225.0,99,47.0,0
126.89877855992152,126.69,17457.0,97,46.0,0
124.89787828462099,124.8,17475.0,101,46.0,0
124.1903377884125,124.12,17297.0,100,46.0,0
124.03580128333915,123.96,18375.0,99,48.0,0
126.27137442825274,126.03,19856.0,100,49.0,0
130.07013492727683,129.46,20657.0,95,50.0,0
134.15625218378756,133.27,20405.0,96,50.0,0
137.73227653676534,136.81,20719.0,98,50.0,0
141.31348131017083,140.37,19704.0,97,51.0,0
144.37929214399134,143.59,19415.0,97,50.0,0
145.88893035456803,145.23,20498.0,94,50.0,0
147.8518853447598,147.37,21536.0,94,50.0,0
149.42222056976667,149.1,21552.0,92,46.0,0
150.88379634672503,150.7,21495.0,93,47.0,0
150.75244608297405,150.57,19633.0,95,49.0,0
150.0253311944353,149.86,19926.0,97,49.0,0
149.9266487319716,149.76,21198.0,100,49.0,0
149.73142622709503,149.55,21571.0,102,48.0,0
148.4668986676828,148.31,22674.0,101,48.0,0
150.5526485984222,150.23,24904.0,101,49.0,0
155.13013891568588,154.5,24932.0,104,51.0,0
160.55055278634202,159.52,23800.0,99,51.0,0
165.71988414188564,164.52,23811.0,102,51.0,0
169.06312430568647,167.95,23463.0,103,50.0,0
172.28691186506305,171.37,24621.0,103,50.0,0
174.76040741540973,173.96,25443.0,101,50.0,0
176.48620342678348,175.75,25859.0,101,50.0,0
178.75575515210693,178.21,26342.0,100,50.0,0
181.5398578825047,181.32,25557.0,97,50.0,0
182.81848921813133,182.64,24526.0,97,50.0,0
183.31710231181378,183.14,22673.0,97,49.0,0
181.87066833329666,181.73,22968.0,97,48.0,0
179.520472370145,179.38,23814.0,97,47.0,0
176.8118208717958,176.47,23490.0,97,48.0,0
173.73439498268615,173.12,21709.0,94,48.0,0
169.8963213256838,168.94,20739.0,95,48.0,0
165.81857555774624,164.56,19171.0,94,48.0,0
162.22829592891617,160.85,19872.0,98,47.0,0
159.0077356608791,157.63,20114.0,100,45.0,0
154.9488302634131,153.77,20172.0,100,45.0,0
151.19279083342565,150.45,20425.0,100,47.0,0
148.60457597261262,148.18,20273.0,104,50.0,0
148.00871595956775,147.67,20283.0,103,50.0,0
149.57459677365003,149.14,20503.0,99,50.0,0
150.7217966984205,150.29,21006.0,99,50.0,0
153.37933367960628,152.99,21786.0,101,49.0,0
155.36363795946593,155.11,21708.0,101,44.0,0
156.4458372728402,156.27,19882.0,100,42.0,0
156.44411142641323,156.26,19631.0,101,46.0,0
155.94704229320928,155.72,19439.0,101,48.0,0
154.25239058115113,153.94,19136.0,103,49.0,0
151.83787406309403,151.41,19986.0,101,49.0,0
149.80580763107952,149.43,20906.0,100,50.0,0
148.76249527350635,148.46,21650.0,103,50.0,0
150.9953641672485,150.46,23291.0,103,50.0,0
154.02129722866252,153.08,22622.0,101,49.0,0
157.59219523821602,156.33,22636.0,99,48.0,0
162.50126153356473,160.83,23762.0,97,47.0,0
166.26075905035438,164.6,23002.0,93,46.0,0
168.27031823824427,166.81,22208.0,93,46.0,0
169.68270389170488,168.43,23318.0,92,46.0,0
170.38814512752933,169.3,22342.0,91,47.0,0
170.1893651201508,169.07,21337.0,91,50.0,0
169.7019151335659,168.53,22033.0,92,50.0,0
168.96478923136618,167.81,22180.0,93,50.0,0
168.150825154086,167.07,21847.0,94,50.0,0
167.59272060563967,166.56,22123.0,95,50.0,0
166.1200168552845,165.27,21321.0,93,51.0,0
166.36351763532772,165.51,22568.0,94,51.0,0
168.50750725116077,167.59,22419.0,93,50.0,0
169.10558831688562,168.23,22402.0,92,48.0,0
171.6249399125896,170.98,23741.0,92,43.0,0
175.45346961516606,175.04,24941.0,92,42.0,0
178.5921610821707,178.36,24083.0,91,42.0,0
180.63310881452492,180.42,23656.0,93,49.0,0
180.84673068651256,180.63,24151.0,94,51.0,0
182.61549769940117,182.29,25020.0,92,52.0,0
184.59274091902964,184.16,26620.0,93,52.0,0
185.27180033669453,184.82,25566.0,95,51.0,0
184.60357526331933,184.14,26099.0,97,50.0,0
