rms,mav,wl,zcr,mdf,label
208.85909125532459,208.46,24856.0,102,47.0,0
207.13898715596733,206.82,26180.0,99,48.0,0
205.26714301124767,204.96,26078.0,101,51.0,0
202.158007508978,201.87,26066.0,100,51.0,0
199.33539575298713,198.86,26567.0,98,47.0,0
197.56057298965297,196.97,25497.0,100,46.0,0
197.17651990031675,196.57,25104.0,100,47.0,0
195.8719479660117,195.29,23588.0,96,49.0,0
193.3230974301829,192.93,25493.0,95,49.0,0
192.1174640682101,191.8,25655.0,92,49.0,0
192.31240209617266,191.99,26656.0,93,49.0,0
191.51725770801963,191.25,27086.0,94,50.0,0
194.28535714252888,193.76,29873.0,91,51.0,0
200.93506413764624,199.75,31746.0,94,51.0,0
208.0981018654423,206.77,31127.0,96,53.0,0
214.3982276046143,213.16,31749.0,94,55.0,0
221.95026469909874,220.52,34140.0,96,57.0,0
230.45954091770642,228.84,35603.0,99,56.0,0
237.84297340892792,236.18,33539.0,98,50.0,0
241.5799246626259,240.27,34583.0,99,50.0,0
245.10352914635888,244.17,36171.0,98,49.0,0
249.26419718844502,248.74,37057.0,100,49.0,0
252.48195975158305,252.11,35041.0,100,51.0,0
251.76735292726102,251.38,34026.0,97,51.0,0
250.87187965174573,250.45,34796.0,98,54.0,0
250.48217501451077,250.04,32873.0,100,55.0,0
246.17221614146467,245.54,30796.0,102,54.0,0
239.08943933181158,238.28,28423.0,104,53.0,0
230.11749172976835,228.93,29332.0,106,52.0,0
224.2698374726303,222.52,29134.0,105,52.0,0
217.9662817960613,215.73,27918.0,105,53.0,0
212.04768331674836,209.87,29245.0,103,54.0,0
207.6768643831084,206.02,28998.0,104,48.0,0
206.2282715827294,204.75,28673.0,106,46.0,0
205.87714783336202,204.44,28252.0,104,46.0,0
205.3077689713665,203.94,29564.0,103,47.0,0
207.80577470320694,206.22,29899.0,100,47.0,0
210.7134072620914,209.05,30643.0,95,47.0,0
212.94515725885856,211.54,30285.0,93,47.0,0
215.02404516704638,213.91,29058.0,95,46.0,0
217.19166650679765,216.45,29741.0,99,43.0,0
219.523802809627,219.01,27753.0,101,42.0,0
219.39858705105647,218.89,28367.0,99,42.0,0
218.2017415145901,217.72,28523.0,99,48.0,0
217.3817379634269,216.93,28813.0,100,54.0,0
215.78271478503555,215.37,29420.0,101,54.0,0
215.0939329688311,214.74,29247.0,102,54.0,0
214.785381253008,214.46,30703.0,105,54.0,0
219.96199671761482,219.38,33305.0,105,54.0,0
227.46371139150966,226.53,36747.0,104,54.0,0
236.63850067138273,235.37,35587.0,104,49.0,0
245.65007632809724,243.82,36705.0,101,46.0,0
256.6798005297651,254.1,39726.0,102,45.0,0
271.13221866830946,267.5,40817.0,103,46.0,0
281.7892120007436,278.14,41004.0,103,48.0,0
289.84661460848565,287.01,41212.0,103,52.0,0
295.11909460419537,292.9,41860.0,101,56.0,0
301.4547063822358,300.11,43599.0,103,56.0,0
307.1739246746052,306.27,43350.0,104,56.0,0
309.92734632490885,309.26,42883.0,104,55.0,0
311.8844657882146,311.32,42772.0,99,54.0,0
313.4431048850812,312.91,43026.0,98,54.0,0
315.267473742535,314.67,40216.0,97,54.0,0
313.8109622049555,313.34,40030.0,96,53.0,0
311.70399419962524,311.29,40859.0,95,48.0,0
309.5897931134035,309.04,39601.0,92,47.0,0
306.7887220873675,305.9,38452.0,94,48.0,0
301.55566650288637,299.97,34759.0,93,51.0,0
291.7242190837093,288.59,31279.0,91,48.0,0
281.5559269488036,276.41,29957.0,93,45.0,0
270.2310122839346,263.44,30105.0,96,44.0,0
257.3225602235451,249.59,27708.0,96,43.0,0
242.07267503789024,235.27,28782.0,94,44.0,0
228.071830790214,223.48,29825.0,94,44.0,0
219.9823174712004,216.93,28882.0,93,44.0,0
215.82061996018822,213.51,29480.0,95,45.0,0
215.41485556943374,213.18,30757.0,94,47.0,0
218.15228625893425,215.55,33268.0,95,50.0,0
225.16678263012065,222.24,34296.0,96,50.0,0
231.04038608000982,228.61,33825.0,97,51.0,0
235.74927359379075,234.02,34641.0,97,51.0,0
240.89246563560263,239.97,34404.0,98,51.0,0
243.37641627733777,242.86,31676.0,97,50.0,0
244.3993044179954,243.97,32262.0,98,50.0,0
242.76552473528855,242.27,32798.0,100,49.0,0
240.22947362886177,239.66,31840.0,97,47.0,0
237.43803402151056,236.91,32176.0,98,47.0,0
234.15110505825078,233.77,31008.0,97,48.0,0
230.59562007982717,230.47,31231.0,96,47.0,0
231.85193551057537,231.64,33398.0,93,47.0,0
231.649260737003,231.43,31130.0,93,46.0,0
230.72966866010103,230.51,31298.0,94,46.0,0
231.32613341341266,231.13,32860.0,95,45.0,0
230.50618212967737,230.29,29685.0,94,45.0,0
229.43739886949555,229.18,29156.0,92,45.0,0
227.03867511946063,226.54,28928.0,96,47.0,0
223.69309332207823,222.92,29791.0,94,48.0,0
222.10452494264948,221.33,29814.0,97,50.0,0
219.7332018608021,218.98,29168.0,98,51.0,0
216.17927745276606,215.7,29525.0,97,52.0,0
216.90200552323162,216.38,29769.0,97,53.0,0
218.5069335284352,217.86,30925.0,97,52.0,0
220.43416250663145,219.63,29244.0,97,49.0,0
222.42081737103655,221.51,32118.0,95,48.0,0
227.64195571115619,226.41,33847.0,97,47.0,0
233.9102819458777,232.79,34872.0,96,47.0,0
240.27392700832107,239.5,35956.0,97,47.0,0
246.941167082364,246.05,37107.0,97,47.0,0
253.14687436348092,252.45,37834.0,97,47.0,0
259.30025067477277,258.71,36430.0,98,52.0,0
262.0718603742111,261.61,39024.0,100,53.0,0
266.52058081881785,266.07,40299.0,101,53.0,0
271.0915712448471,270.62,42801.0,102,53.0,0
276.24043874856557,275.89,41652.0,104,54.0,0
280.3639777146843,279.88,44381.0,103,53.0,0
287.0302074695275,286.37,42324.0,102,49.0,0
292.84405406290904,292.2,43675.0,103,48.0,0
295.58020908037804,294.93,40813.0,101,49.0,0
297.6478456162584,297.08,41940.0,102,50.0,0
297.33778770953415,296.76,41973.0,100,51.0,0
299.8727730221602,299.48,41831.0,103,51.0,0
298.181220065919,297.66,41522.0,102,51.0,0
297.17577290216644,296.62,41196.0,104,51.0,0
294.8472825040109,294.18,41372.0,106,51.0,0
292.84736638733835,292.23,39323.0,107,51.0,0
289.4182095169549,288.99,40538.0,108,53.0,0
287.35900890697684,287.06,41072.0,107,53.0,0
