Time_s,Raw_EMG,Envelope_EMG,label
37.0023,-26.0,104.0,1
37.0073,-16.0,104.0,1
37.0122,0.0,104.0,1
37.0173,27.0,102.0,1
37.0221,24.0,102.0,1
37.0277,-2.0,102.0,1
37.032,-27.0,100.0,1
37.0371,-24.0,100.0,1
37.0426,7.0,100.0,1
37.0473,33.0,100.0,1
37.0524,21.0,100.0,1
37.0578,-19.0,100.0,1
37.0627,-48.0,100.0,1
37.068,-22.0,100.0,1
37.0723,54.0,100.0,1
37.0774,75.0,100.0,1
37.0825,-19.0,100.0,1
37.0874,-75.0,100.0,1
37.092,-23.0,100.0,1
37.0974,-1.0,98.0,1
37.1022,4.0,98.0,1
37.1073,77.0,100.0,1
37.1127,84.0,100.0,1
37.1178,-55.0,100.0,1
37.1221,-149.0,102.0,1
37.1272,-44.0,104.0,1
37.1322,109.0,104.0,1
37.1372,102.0,106.0,1
37.1429,-7.0,104.0,1
37.1478,-65.0,104.0,1
37.152,-44.0,104.0,1
37.1573,7.0,104.0,1
37.1626,19.0,104.0,1
37.1675,-18.0,102.0,1
37.172,9.0,102.0,1
37.1777,85.0,104.0,1
37.1827,14.0,102.0,1
37.1873,-125.0,104.0,1
37.1923,-51.0,104.0,1
37.1983,107.0,106.0,1
37.2023,37.0,106.0,1
37.2075,-77.0,106.0,1
37.212,21.0,106.0,1
37.2172,75.0,106.0,1
37.2223,-65.0,104.0,1
37.2272,-80.0,106.0,1
37.2321,70.0,106.0,1
37.2374,60.0,106.0,1
37.2426,-60.0,106.0,1
37.2473,-27.0,104.0,1
37.2523,65.0,104.0,1
37.2571,17.0,104.0,1
37.2628,-78.0,106.0,1
37.2678,-35.0,106.0,1
37.2723,77.0,106.0,1
37.2774,69.0,106.0,1
37.2824,-54.0,106.0,1
37.2879,-106.0,108.0,1
37.292,-3.0,106.0,1
37.2973,113.0,108.0,1
37.3029,83.0,108.0,1
37.3074,-55.0,108.0,1
37.3127,-134.0,110.0,1
37.3179,-42.0,110.0,1
37.3222,116.0,112.0,1
37.3272,112.0,112.0,1
37.3323,-51.0,112.0,1
37.3374,-119.0,114.0,1
37.343,7.0,112.0,1
37.3477,96.0,114.0,1
37.3523,-21.0,112.0,1
37.3573,-95.0,112.0,1
37.3625,58.0,110.0,1
37.3677,116.0,112.0,1
37.373,-62.0,108.0,1
37.3771,-117.0,110.0,1
37.3835,33.0,106.0,1
37.3873,69.0,106.0,1
37.3925,-5.0,102.0,1
37.3975,5.0,102.0,1
37.4024,-14.0,100.0,1
37.407,-59.0,100.0,1
37.4124,42.0,98.0,1
37.4176,66.0,100.0,1
37.4225,-69.0,100.0,1
37.4279,-46.0,100.0,1
37.4321,70.0,100.0,1
37.4371,21.0,100.0,1
37.4423,-45.0,100.0,1
37.4471,7.0,100.0,1
37.4524,27.0,100.0,1
37.4572,-41.0,102.0,1
37.4627,-37.0,102.0,1
37.4673,57.0,102.0,1
37.4723,60.0,102.0,1
37.4772,-41.0,102.0,1
37.4825,-59.0,102.0,1
37.4879,8.0,102.0,1
37.4921,22.0,102.0,1
37.4978,16.0,102.0,1
37.5023,27.0,102.0,1
37.5073,-15.0,102.0,1
37.5124,-67.0,102.0,1
37.5177,-31.0,102.0,1
37.522,89.0,104.0,1
37.5272,120.0,104.0,1
37.5321,-63.0,102.0,1
37.5373,-178.0,104.0,1
37.5423,-10.0,102.0,1
37.5473,124.0,102.0,1
37.552,67.0,102.0,1
37.5571,3.0,102.0,1
37.5621,-49.0,102.0,1
37.5672,-82.0,104.0,1
37.5721,-6.0,104.0,1
37.5771,53.0,104.0,1
37.5821,30.0,104.0,1
37.5871,29.0,104.0,1
37.5921,6.0,104.0,1
37.5971,-77.0,106.0,1
37.602,-66.0,106.0,1
37.6076,41.0,104.0,1
37.612,71.0,104.0,1
37.617,42.0,104.0,1
37.6221,15.0,104.0,1
37.6272,-82.0,102.0,1
37.6321,-154.0,104.0,1
37.6371,31.0,104.0,1
37.6422,252.0,108.0,1
37.6471,73.0,108.0,1
37.6524,-238.0,112.0,1
37.6571,-143.0,114.0,1
37.6621,125.0,116.0,1
37.6671,116.0,118.0,1
37.672,-9.0,118.0,1
37.6771,-6.0,118.0,1
37.6821,-23.0,118.0,1
37.6871,-108.0,118.0,1
37.6921,-19.0,118.0,1
37.6973,168.0,120.0,1
37.7021,65.0,122.0,1
37.7072,-176.0,124.0,1
37.7123,-64.0,124.0,1
37.7171,159.0,124.0,1
37.7222,26.0,126.0,1
37.7271,-138.0,126.0,1
37.7321,6.0,126.0,1
37.7371,111.0,128.0,1
37.7421,-2.0,128.0,1
37.7472,-60.0,128.0,1
37.7521,-21.0,126.0,1
37.7571,-17.0,126.0,1
37.7621,8.0,124.0,1
37.7672,73.0,124.0,1
37.7722,52.0,122.0,1
37.7771,-59.0,122.0,1
37.7822,-101.0,124.0,1
37.7872,8.0,122.0,1
37.7921,100.0,124.0,1
37.7973,15.0,124.0,1
37.8023,-85.0,124.0,1
37.8072,-2.0,124.0,1
37.8122,91.0,126.0,1
37.8171,-22.0,124.0,1
37.8221,-109.0,126.0,1
37.8272,47.0,126.0,1
37.8323,115.0,126.0,1
37.8371,-62.0,126.0,1
37.8423,-99.0,126.0,1
37.8471,48.0,126.0,1
37.8524,57.0,126.0,1
