Time_s,Raw_EMG,Envelope_EMG,label
40.0047,72.0,142.0,1
40.0099,-80.0,140.0,1
40.0147,-59.0,142.0,1
40.0197,111.0,142.0,1
40.0247,-14.0,140.0,1
40.0297,-167.0,142.0,1
40.0352,91.0,142.0,1
40.0399,219.0,142.0,1
40.0449,-101.0,142.0,1
40.0497,-196.0,142.0,1
40.0548,67.0,140.0,1
40.0599,78.0,140.0,1
40.0647,-72.0,138.0,1
40.0698,51.0,138.0,1
40.0747,116.0,140.0,1
40.0797,-106.0,140.0,1
40.0848,-124.0,140.0,1
40.0898,97.0,140.0,1
40.0948,71.0,140.0,1
40.0997,-78.0,140.0,1
40.1047,-3.0,140.0,1
40.1097,55.0,140.0,1
40.1147,-55.0,138.0,1
40.1199,-16.0,138.0,1
40.1248,116.0,136.0,1
40.13,-11.0,136.0,1
40.1347,-164.0,136.0,1
40.1396,-5.0,136.0,1
40.1447,160.0,138.0,1
40.1499,55.0,138.0,1
40.1549,-101.0,138.0,1
40.1599,-95.0,138.0,1
40.1647,28.0,136.0,1
40.1697,106.0,136.0,1
40.1747,25.0,136.0,1
40.1797,-94.0,136.0,1
40.1849,-49.0,138.0,1
40.1897,59.0,138.0,1
40.1946,35.0,138.0,1
40.1997,-6.0,136.0,1
40.2048,8.0,136.0,1
40.2098,-28.0,136.0,1
40.2148,-28.0,134.0,1
40.2197,28.0,134.0,1
40.2247,-14.0,132.0,1
40.2297,-16.0,132.0,1
40.2349,83.0,132.0,1
40.2398,17.0,130.0,1
40.2449,-122.0,132.0,1
40.2499,-34.0,130.0,1
40.2547,111.0,132.0,1
40.2598,42.0,132.0,1
40.2649,-65.0,132.0,1
40.2698,-11.0,132.0,1
40.2747,22.0,132.0,1
40.2798,-55.0,132.0,1
40.2849,-16.0,132.0,1
40.2896,116.0,134.0,1
40.2948,40.0,134.0,1
40.2998,-132.0,134.0,1
40.3047,-54.0,134.0,1
40.3097,120.0,134.0,1
40.3147,49.0,132.0,1
