Time_s,Raw_EMG,Envelope_EMG,label
40.0004,-337.0,312.0,1
40.0052,-177.0,314.0,1
40.0102,118.0,312.0,1
40.0152,49.0,312.0,1
40.0204,85.0,308.0,1
40.0253,126.0,308.0,1
40.0303,-140.0,306.0,1
40.0365,-167.0,304.0,1
40.0402,116.0,302.0,1
40.0453,32.0,296.0,1
40.0502,-126.0,294.0,1
40.0552,159.0,292.0,1
40.0603,138.0,288.0,1
40.0654,-279.0,288.0,1
40.0703,-30.0,284.0,1
40.0754,312.0,286.0,1
40.0803,-198.0,284.0,1
40.0853,-333.0,286.0,1
40.0903,372.0,288.0,1
40.0952,351.0,292.0,1
40.1004,-345.0,294.0,1
40.1052,-270.0,298.0,1
40.1103,202.0,302.0,1
40.1154,49.0,300.0,1
40.1204,-146.0,302.0,1
40.1252,177.0,302.0,1
40.1303,238.0,306.0,1
40.1355,-248.0,306.0,1
40.1404,-349.0,310.0,1
40.1453,156.0,308.0,1
40.1502,373.0,312.0,1
40.1552,0.0,308.0,1
40.1603,-348.0,312.0,1
40.1655,-157.0,310.0,1
40.1703,333.0,316.0,1
40.1753,287.0,318.0,1
40.1803,-298.0,322.0,1
40.1852,-357.0,326.0,1
40.1904,185.0,328.0,1
40.1952,327.0,332.0,1
40.2004,-16.0,330.0,1
40.2052,-208.0,330.0,1
40.2103,-118.0,330.0,1
40.2154,87.0,330.0,1
40.2211,166.0,328.0,1
40.2254,-20.0,328.0,1
40.2303,-157.0,326.0,1
40.2352,-18.0,326.0,1
40.2402,142.0,326.0,1
40.2455,61.0,326.0,1
40.2503,-134.0,328.0,1
40.2553,-118.0,326.0,1
40.2602,125.0,328.0,1
40.2652,182.0,328.0,1
40.2702,-101.0,328.0,1
40.2756,-203.0,328.0,1
40.2802,34.0,328.0,1
40.2851,121.0,328.0,1
40.2902,94.0,326.0,1
40.2953,32.0,326.0,1
40.3002,-239.0,326.0,1
40.3054,-149.0,326.0,1
40.3102,307.0,328.0,1
40.3152,139.0,328.0,1
40.3201,-287.0,332.0,1
40.3251,-32.0,332.0,1
40.3301,268.0,336.0,1
40.3352,-22.0,334.0,1
40.3403,-256.0,336.0,1
40.3455,-50.0,334.0,1
40.3502,131.0,336.0,1
40.3552,94.0,336.0,1
40.3602,83.0,334.0,1
40.3652,34.0,332.0,1
40.3703,-162.0,328.0,1
40.3752,-198.0,326.0,1
40.3804,27.0,322.0,1
40.3852,186.0,316.0,1
40.3904,116.0,318.0,1
40.3954,-38.0,308.0,1
40.4003,-97.0,306.0,1
40.4052,-41.0,302.0,1
40.4102,-18.0,296.0,1
40.4152,-27.0,296.0,1
40.4203,76.0,294.0,1
40.4253,126.0,290.0,1
40.4302,-67.0,288.0,1
40.4352,-121.0,282.0,1
40.4401,87.0,282.0,1
40.4453,43.0,276.0,1
40.4504,-162.0,278.0,1
40.4552,-4.0,276.0,1
40.4602,217.0,278.0,1
40.4652,5.0,278.0,1
40.4702,-212.0,280.0,1
40.4754,15.0,280.0,1
40.4805,196.0,282.0,1
40.4854,-34.0,280.0,1
40.4902,-201.0,282.0,1
40.4951,-30.0,278.0,1
40.5003,204.0,280.0,1
40.5052,181.0,280.0,1
40.5102,-196.0,282.0,1
40.5152,-342.0,286.0,1
40.5203,164.0,288.0,1
40.5251,410.0,294.0,1
40.5303,-76.0,294.0,1
40.5353,-290.0,298.0,1
40.5402,-19.0,298.0,1
40.5451,21.0,298.0,1
40.5502,45.0,298.0,1
