Time_s,Raw_EMG,Envelope_EMG,label
0.0004,112.0,332.0,0
0.0006,-259.0,336.0,0
0.0008,-58.0,336.0,0
0.0009,182.0,338.0,0
0.001,1.0,336.0,0
0.0012,-161.0,338.0,0
0.0013,6.0,334.0,0
0.0015,156.0,336.0,0
0.0016,-1.0,336.0,0
0.0018,-143.0,336.0,0
0.0019,37.0,334.0,0
0.002,166.0,338.0,0
0.0022,-61.0,334.0,0
0.0024,-225.0,334.0,0
0.0025,-12.0,330.0,0
0.0027,228.0,330.0,0
0.0028,146.0,328.0,0
0.003,-126.0,326.0,0
0.0031,-209.0,326.0,0
0.0033,6.0,326.0,0
0.0034,150.0,324.0,0
0.0035,-3.0,322.0,0
0.0037,-74.0,318.0,0
0.0038,119.0,318.0,0
0.004,98.0,314.0,0
0.0041,-198.0,314.0,0
0.0043,-176.0,310.0,0
0.0044,130.0,310.0,0
0.0046,177.0,308.0,0
0.0047,5.0,306.0,0
0.0048,-99.0,306.0,0
0.005,-78.0,304.0,0
0.0051,59.0,302.0,0
0.0052,90.0,302.0,0
0.0057,-103.0,302.0,0
0.0062,-98.0,304.0,0
0.0064,156.0,304.0,0
0.0065,73.0,302.0,0
0.0068,-139.0,302.0,0
0.0069,69.0,298.0,0
0.0071,82.0,296.0,0
0.0073,-310.0,294.0,0
0.0075,-69.0,292.0,0
0.0077,497.0,294.0,0
0.0078,107.0,294.0,0
0.008,-517.0,300.0,0
0.0081,-123.0,300.0,0
0.0083,402.0,306.0,0
0.0084,82.0,306.0,0
0.0086,-252.0,310.0,0
0.0087,-27.0,310.0,0
0.0089,143.0,310.0,0
0.009,23.0,308.0,0
0.0091,-69.0,306.0,0
0.0093,-62.0,304.0,0
0.0094,-16.0,300.0,0
0.0095,85.0,300.0,0
0.0097,87.0,296.0,0
0.0099,-71.0,298.0,0
0.01,-74.0,296.0,0
0.0101,45.0,296.0,0
0.0103,-23.0,296.0,0
0.0104,-14.0,296.0,0
0.0105,150.0,298.0,0
0.0107,-14.0,294.0,0
0.0109,-246.0,298.0,0
0.011,7.0,292.0,0
0.0111,282.0,294.0,0
0.0112,49.0,290.0,0
0.0115,-261.0,292.0,0
0.0121,-116.0,292.0,0
0.0123,203.0,292.0,0
0.0125,137.0,294.0,0
0.0126,-125.0,292.0,0
0.0128,-91.0,292.0,0
0.0129,48.0,286.0,0
0.013,-2.0,284.0,0
0.0132,-3.0,276.0,0
0.0133,87.0,278.0,0
0.0134,7.0,276.0,0
0.0135,-105.0,276.0,0
0.0137,-31.0,274.0,0
0.0138,56.0,274.0,0
0.014,14.0,266.0,0
0.0141,-4.0,266.0,0
0.0142,60.0,258.0,0
0.0143,-4.0,258.0,0
0.0146,-111.0,254.0,0
0.0147,1.0,254.0,0
0.0149,54.0,252.0,0
0.015,-54.0,250.0,0
0.0151,64.0,250.0,0
0.0153,139.0,248.0,0
0.0154,-149.0,248.0,0
0.0156,-157.0,246.0,0
0.0157,185.0,244.0,0
0.0158,99.0,244.0,0
0.016,-197.0,242.0,0
0.0161,-55.0,242.0,0
0.0163,160.0,242.0,0
0.0164,40.0,242.0,0
0.0165,-65.0,244.0,0
0.0167,24.0,242.0,0
0.0169,-12.0,240.0,0
0.0171,-149.0,238.0,0
0.0174,-7.0,238.0,0
0.0177,217.0,236.0,0
0.0178,84.0,236.0,0
0.0181,-143.0,234.0,0
0.0182,-91.0,236.0,0
0.0184,-8.0,232.0,0
0.0186,-3.0,230.0,0
0.0188,113.0,228.0,0
0.019,92.0,226.0,0
0.0193,-136.0,226.0,0
0.0195,-105.0,226.0,0
0.0197,121.0,226.0,0
0.0199,71.0,228.0,0
0.0201,-105.0,226.0,0
0.0203,-30.0,224.0,0
0.0206,97.0,224.0,0
0.0207,-5.0,220.0,0
0.0209,-111.0,222.0,0
0.021,25.0,216.0,0
0.0212,141.0,216.0,0
0.0213,-34.0,212.0,0
0.0215,-154.0,212.0,0
0.0216,70.0,208.0,0
0.0218,148.0,208.0,0
0.0219,-150.0,206.0,0
0.0221,-154.0,208.0,0
0.0222,226.0,208.0,0
0.0224,156.0,212.0,0
0.0225,-240.0,212.0,0
0.0227,-100.0,214.0,0
0.0228,204.0,214.0,0
0.0229,2.0,214.0,0
0.0231,-174.0,216.0,0
0.0232,50.0,216.0,0
0.0234,148.0,214.0,0
0.0237,-29.0,214.0,0
0.0239,-96.0,212.0,0
0.024,37.0,212.0,0
0.0243,91.0,210.0,0
0.0247,-148.0,210.0,0
0.0249,-210.0,212.0,0
0.025,259.0,212.0,0
0.0252,354.0,218.0,0
0.0255,-240.0,220.0,0
0.0257,-354.0,226.0,0
0.0258,127.0,226.0,0
0.026,186.0,226.0,0
0.0261,-28.0,226.0,0
0.0263,22.0,224.0,0
0.0264,-23.0,220.0,0
0.0266,-169.0,222.0,0
0.0267,39.0,220.0,0
0.0268,235.0,222.0,0
0.027,-6.0,222.0,0
0.0271,-208.0,224.0,0
0.0273,-45.0,224.0,0
0.0274,86.0,224.0,0
0.0275,31.0,222.0,0
0.0276,44.0,222.0,0
0.0278,51.0,220.0,0
0.0279,-85.0,220.0,0
0.0281,-108.0,220.0,0
0.0282,50.0,218.0,0
0.0283,97.0,220.0,0
0.0284,-21.0,214.0,0
0.0286,-79.0,214.0,0
0.0287,28.0,208.0,0
0.0288,95.0,208.0,0
0.029,-39.0,200.0,0
0.0291,-115.0,200.0,0
0.0293,42.0,194.0,0
0.0295,111.0,194.0,0
0.0297,-53.0,192.0,0
0.0299,-137.0,194.0,0
0.0301,66.0,192.0,0
0.0303,239.0,196.0,0
0.0305,-51.0,194.0,0
0.0307,-338.0,200.0,0
0.031,20.0,200.0,0
0.0312,327.0,204.0,0
0.0314,-20.0,202.0,0
0.0315,-228.0,204.0,0
0.0316,68.0,204.0,0
0.0318,147.0,206.0,0
0.0319,-129.0,208.0,0
0.0321,-133.0,210.0,0
0.0322,159.0,210.0,0
0.0324,152.0,212.0,0
0.0325,-151.0,210.0,0
0.0329,-155.0,212.0,0
0.0332,141.0,210.0,0
0.0334,137.0,212.0,0
0.0337,-161.0,210.0,0
0.034,-133.0,210.0,0
0.0341,194.0,210.0,0
0.0343,141.0,210.0,0
0.0344,-193.0,212.0,0
0.0346,-109.0,212.0,0
0.0347,149.0,214.0,0
0.0348,17.0,214.0,0
0.035,-102.0,216.0,0
0.0351,85.0,216.0,0
0.0352,74.0,216.0,0
0.0354,-140.0,216.0,0
0.0356,-50.0,218.0,0
0.0358,137.0,218.0,0
0.036,25.0,218.0,0
0.0362,-103.0,220.0,0
0.0364,-23.0,220.0,0
0.0365,53.0,220.0,0
0.0367,71.0,220.0,0
0.0369,16.0,220.0,0
0.037,-160.0,222.0,0
0.0372,-88.0,222.0,0
0.0373,242.0,224.0,0
0.0375,123.0,224.0,0
0.0376,-277.0,226.0,0
0.0378,-114.0,226.0,0
0.0379,236.0,226.0,0
0.0381,82.0,226.0,0
0.0382,-127.0,226.0,0
0.0384,-28.0,224.0,0
0.0385,17.0,222.0,0
0.0387,-34.0,222.0,0
0.0388,11.0,222.0,0
0.0389,50.0,222.0,0
0.039,42.0,222.0,0
0.0392,23.0,220.0,0
0.0393,-95.0,222.0,0
0.0395,-139.0,220.0,0
0.0396,65.0,220.0,0
0.0397,182.0,222.0,0
0.0399,9.0,220.0,0
0.04,-103.0,222.0,0
0.0402,-15.0,222.0,0
0.0403,-9.0,220.0,0
0.0404,-70.0,220.0,0
0.0406,27.0,218.0,0
0.0407,155.0,218.0,0
0.0408,57.0,218.0,0
0.041,-160.0,218.0,0
0.0411,-131.0,220.0,0
0.0413,95.0,220.0,0
0.0414,108.0,220.0,0
0.0416,-23.0,220.0,0
0.0417,-15.0,220.0,0
0.0419,-13.0,220.0,0
0.0421,-64.0,218.0,0
0.0423,20.0,218.0,0
0.0425,96.0,216.0,0
0.0426,-18.0,216.0,0
0.0429,-96.0,216.0,0
0.043,6.0,212.0,0
0.0431,83.0,212.0,0
0.0433,24.0,208.0,0
0.0434,-51.0,208.0,0
0.0436,-60.0,204.0,0
0.0437,6.0,202.0,0
0.0438,76.0,200.0,0
0.0439,19.0,202.0,0
0.0441,-77.0,200.0,0
0.0442,-7.0,198.0,0
0.0444,85.0,198.0,0
0.0445,-13.0,198.0,0
0.0447,-89.0,198.0,0
0.0448,7.0,198.0,0
0.0449,51.0,196.0,0
0.045,15.0,194.0,0
0.0451,30.0,192.0,0
0.0453,-14.0,188.0,0
0.0454,-98.0,184.0,0
0.0456,-17.0,180.0,0
0.0457,86.0,176.0,0
0.0458,29.0,174.0,0
0.046,-9.0,172.0,0
0.0461,24.0,172.0,0
0.0462,-47.0,172.0,0
0.0464,-112.0,174.0,0
0.0465,56.0,172.0,0
0.0467,172.0,174.0,0
0.0468,-53.0,170.0,0
0.047,-183.0,174.0,0
0.0472,50.0,172.0,0
0.0474,150.0,172.0,0
0.0476,-28.0,172.0,0
0.0478,-72.0,172.0,0
0.048,7.0,172.0,0
0.0482,-29.0,172.0,0
0.0484,-15.0,170.0,0
0.0485,97.0,170.0,0
0.0487,19.0,170.0,0
0.0489,-120.0,170.0,0
0.049,17.0,170.0,0
0.0492,132.0,172.0,0
0.0493,-67.0,172.0,0
0.0495,-141.0,172.0,0
0.0496,73.0,172.0,0
0.0497,125.0,174.0,0
0.0499,-26.0,172.0,0
0.05,-88.0,172.0,0
0.0502,-34.0,172.0,0
0.0503,48.0,170.0,0
0.0504,64.0,170.0,0
0.0506,-17.0,168.0,0
0.0507,-45.0,168.0,0
0.0509,12.0,162.0,0
0.051,-12.0,162.0,0
0.0511,-46.0,158.0,0
0.0513,74.0,158.0,0
0.0514,90.0,156.0,0
0.0516,-103.0,156.0,0
0.0517,-86.0,156.0,0
0.0518,101.0,156.0,0
0.052,35.0,154.0,0
0.0521,-91.0,152.0,0
0.0522,-9.0,150.0,0
0.0524,71.0,150.0,0
0.0525,31.0,148.0,0
