Time_s,Raw_EMG,Envelope_EMG
0.0003,10.0,10.0
0.0005,-5.0,10.0
0.0006,-10.0,10.0
0.0007,-4.0,10.0
0.0009,5.0,10.0
0.0014,7.0,10.0
0.0016,0.0,10.0
0.0018,-5.0,10.0
0.002,-4.0,10.0
0.0022,2.0,10.0
0.0023,5.0,10.0
0.0025,-1.0,10.0
0.0027,-2.0,10.0
0.0028,5.0,10.0
0.003,0.0,10.0
0.0031,-11.0,10.0
0.0033,-2.0,10.0
0.0034,11.0,10.0
0.0036,6.0,10.0
0.0037,-5.0,10.0
0.0038,-7.0,10.0
0.0039,-3.0,10.0
0.004,5.0,10.0
0.0041,7.0,10.0
0.0042,-4.0,10.0
0.0043,-7.0,10.0
0.0044,6.0,10.0
0.0045,4.0,10.0
0.0046,-11.0,10.0
0.0047,0.0,10.0
0.0048,12.0,10.0
0.005,-1.0,10.0
0.0051,-8.0,10.0
0.0052,4.0,10.0
0.0053,1.0,10.0
0.0054,-8.0,10.0
0.0055,2.0,10.0
0.0056,10.0,10.0
0.0057,-1.0,10.0
0.0058,-8.0,10.0
0.0059,1.0,10.0
0.006,4.0,10.0
0.0061,0.0,10.0
0.0062,-1.0,10.0
0.0063,-1.0,10.0
0.0064,-1.0,10.0
0.0065,5.0,10.0
0.0066,4.0,10.0
0.0067,-7.0,10.0
0.007,-4.0,10.0
0.0073,6.0,10.0
0.0076,1.0,10.0
0.0078,-6.0,10.0
0.008,3.0,10.0
0.0081,7.0,10.0
0.0082,-2.0,10.0
0.0083,-6.0,10.0
0.0085,-1.0,10.0
0.0086,3.0,10.0
0.0087,5.0,10.0
0.0088,0.0,10.0
0.0089,-6.0,10.0
0.009,0.0,10.0
0.0091,4.0,10.0
0.0092,-5.0,10.0
0.0093,-5.0,10.0
0.0094,11.0,10.0
0.0095,11.0,10.0
0.0097,-11.0,10.0
0.0098,-13.0,10.0
0.0099,5.0,10.0
0.01,6.0,10.0
0.0101,-2.0,10.0
0.0102,4.0,10.0
0.0103,6.0,10.0
0.0104,-8.0,10.0
0.0105,-10.0,12.0
0.0106,4.0,10.0
0.0107,8.0,12.0
0.0108,1.0,10.0
0.011,-2.0,10.0
0.0111,-1.0,10.0
0.0113,0.0,10.0
0.0114,0.0,10.0
0.0116,0.0,10.0
0.0117,0.0,10.0
0.0118,1.0,10.0
0.0119,0.0,10.0
0.012,-1.0,10.0
0.0121,-3.0,10.0
0.0122,0.0,10.0
0.0123,4.0,10.0
0.0124,2.0,10.0
0.0125,-2.0,10.0
0.0126,0.0,10.0
0.0127,0.0,10.0
0.0129,-2.0,10.0
0.0131,-3.0,10.0
0.0133,2.0,10.0
0.0134,5.0,10.0
0.0136,2.0,10.0
0.0137,-2.0,10.0
0.0139,-6.0,10.0
0.0141,-3.0,10.0
0.0142,6.0,10.0
0.0143,7.0,8.0
0.0143,-3.0,8.0
0.0144,-6.0,8.0
0.0145,-1.0,8.0
0.0146,1.0,8.0
0.0147,4.0,8.0
0.0148,5.0,8.0
0.0149,-2.0,8.0
0.015,-9.0,8.0
0.0151,-1.0,8.0
0.0152,9.0,8.0
0.0152,3.0,8.0
0.0153,-7.0,8.0
0.0154,-1.0,8.0
0.0155,7.0,8.0
0.0156,0.0,8.0
0.0157,-6.0,8.0
0.0158,0.0,8.0
0.0158,4.0,8.0
0.0159,-2.0,8.0
0.016,-5.0,8.0
0.0161,1.0,8.0
0.0162,7.0,8.0
0.0163,4.0,8.0
0.0164,-4.0,8.0
0.0165,-6.0,8.0
0.0165,0.0,8.0
0.0166,1.0,8.0
0.0167,2.0,6.0
0.0168,5.0,8.0
0.0169,-1.0,8.0
0.017,-5.0,8.0
0.0171,3.0,8.0
0.0172,1.0,6.0
0.0173,-7.0,8.0
0.0174,0.0,8.0
0.0174,8.0,8.0
0.0175,-2.0,8.0
0.0176,-5.0,8.0
0.0177,4.0,8.0
0.0178,4.0,6.0
0.0179,-4.0,6.0
0.018,-6.0,6.0
0.0181,1.0,6.0
0.0181,6.0,6.0
0.0182,3.0,6.0
0.0183,-5.0,6.0
