Time_s,Raw_EMG,Envelope_EMG
0.0004,35.0,294.0
0.0005,-60.0,292.0
0.0007,20.0,288.0
0.0008,109.0,286.0
0.001,-65.0,282.0
0.0011,-225.0,284.0
0.0013,31.0,282.0
0.0014,312.0,286.0
0.0015,77.0,286.0
0.0017,-259.0,290.0
0.0019,-156.0,290.0
0.0021,119.0,292.0
0.0023,151.0,290.0
0.0024,-59.0,290.0
0.0026,-154.0,290.0
0.0027,99.0,290.0
0.0029,242.0,294.0
0.0031,-85.0,294.0
0.0034,-340.0,298.0
0.0037,-65.0,298.0
0.0041,333.0,300.0
0.0044,234.0,302.0
0.0047,-217.0,302.0
0.0049,-296.0,304.0
0.005,85.0,306.0
0.0052,282.0,310.0
0.0053,-20.0,308.0
0.0055,-272.0,312.0
0.0057,40.0,310.0
0.0059,289.0,310.0
0.006,-85.0,308.0
0.0062,-311.0,310.0
0.0063,85.0,308.0
0.0064,307.0,308.0
0.0066,-38.0,308.0
0.0068,-256.0,310.0
0.0069,-15.0,310.0
0.0071,180.0,312.0
0.0072,87.0,314.0
0.0074,-127.0,314.0
0.0076,-237.0,318.0
0.0077,100.0,318.0
0.0079,445.0,324.0
0.008,-68.0,324.0
0.0082,-578.0,332.0
0.0083,33.0,330.0
0.0085,551.0,338.0
0.0086,-31.0,334.0
0.0088,-416.0,340.0
0.009,67.0,334.0
0.0094,265.0,336.0
0.0096,-114.0,330.0
0.0097,-144.0,330.0
0.0099,146.0,328.0
0.01,43.0,326.0
0.0102,-128.0,326.0
0.0104,71.0,326.0
0.0106,46.0,324.0
0.0107,-209.0,326.0
0.0109,29.0,324.0
0.011,295.0,328.0
0.0112,-18.0,326.0
0.0114,-228.0,330.0
0.0116,-41.0,330.0
0.0117,25.0,330.0
0.0118,57.0,328.0
0.012,178.0,330.0
0.0122,-11.0,324.0
0.0123,-252.0,328.0
0.0125,-22.0,322.0
0.0126,167.0,324.0
0.0128,-29.0,318.0
0.013,-26.0,316.0
0.0132,151.0,314.0
0.0133,-46.0,312.0
0.0135,-258.0,314.0
0.0136,28.0,310.0
0.0137,289.0,312.0
0.0139,22.0,310.0
0.014,-236.0,310.0
0.0142,-52.0,312.0
0.0143,139.0,308.0
0.0144,38.0,306.0
0.0146,-62.0,300.0
0.0147,0.0,296.0
0.0148,30.0,292.0
0.0149,-22.0,286.0
0.0151,-17.0,284.0
0.0152,23.0,282.0
0.0154,4.0,280.0
0.0155,-49.0,280.0
0.0157,-30.0,280.0
0.0161,112.0,280.0
0.0163,118.0,280.0
0.0165,-143.0,282.0
0.0167,-203.0,282.0
0.0168,104.0,284.0
0.0169,194.0,286.0
0.0171,-43.0,286.0
0.0172,-105.0,286.0
0.0174,13.0,286.0
0.0175,48.0,282.0
0.0176,-7.0,280.0
0.0178,-104.0,278.0
0.0179,-26.0,272.0
0.0181,218.0,274.0
