Time_s,Raw_EMG,Envelope_EMG
0.0005,-67.0,160.0
0.0008,-100.0,162.0
0.0011,-12.0,160.0
0.0014,198.0,162.0
0.0017,94.0,162.0
0.0019,-229.0,164.0
0.0021,-143.0,166.0
0.0023,229.0,168.0
0.0025,166.0,170.0
0.0028,-236.0,174.0
0.0029,-193.0,176.0
0.0032,239.0,178.0
0.0034,232.0,182.0
0.0036,-205.0,182.0
0.0037,-244.0,186.0
0.0039,132.0,184.0
0.0041,176.0,186.0
0.0042,-65.0,184.0
0.0044,-42.0,182.0
0.0045,56.0,182.0
0.0047,-62.0,180.0
0.0048,-72.0,180.0
0.005,59.0,180.0
0.0051,-10.0,180.0
0.0053,-10.0,176.0
0.0055,225.0,180.0
0.0057,29.0,176.0
0.0059,-415.0,180.0
0.006,-99.0,178.0
0.0062,426.0,182.0
0.0063,102.0,182.0
0.0065,-293.0,186.0
0.0067,-5.0,184.0
0.0068,156.0,186.0
0.007,-97.0,188.0
0.0071,-81.0,188.0
0.0074,124.0,188.0
0.0077,33.0,188.0
0.0079,-82.0,190.0
0.0081,34.0,190.0
0.0084,23.0,190.0
0.0086,-131.0,192.0
0.0088,1.0,190.0
0.009,214.0,194.0
0.0091,41.0,192.0
0.0093,-215.0,196.0
0.0095,-123.0,196.0
0.0097,109.0,196.0
0.0098,150.0,198.0
0.01,34.0,196.0
0.0101,-87.0,196.0
0.0103,-117.0,198.0
0.0104,2.0,196.0
0.0106,117.0,196.0
0.0107,45.0,194.0
0.0109,-94.0,196.0
0.0111,-70.0,196.0
0.0112,82.0,196.0
0.0114,109.0,198.0
0.0116,-67.0,198.0
0.0117,-161.0,200.0
0.0119,40.0,198.0
0.012,198.0,200.0
0.0122,-23.0,198.0
0.0124,-216.0,200.0
0.0125,23.0,200.0
0.0127,225.0,204.0
0.0128,-16.0,204.0
0.013,-210.0,206.0
0.0134,-7.0,206.0
0.0137,146.0,206.0
0.014,28.0,204.0
0.0142,-38.0,204.0
0.0144,-25.0,202.0
0.0146,-58.0,202.0
0.0147,11.0,200.0
0.0149,71.0,202.0
0.0151,-27.0,202.0
0.0152,5.0,202.0
0.0154,105.0,202.0
0.0156,-62.0,200.0
0.0157,-205.0,202.0
0.0159,3.0,198.0
0.016,238.0,202.0
0.0162,122.0,202.0
0.0164,-168.0,202.0
0.0165,-175.0,204.0
0.0167,73.0,204.0
0.0169,111.0,204.0
0.017,-65.0,204.0
0.0172,-16.0,204.0
0.0173,150.0,206.0
0.0175,-10.0,206.0
0.0177,-205.0,208.0
0.0178,-15.0,208.0
0.018,131.0,210.0
0.0182,7.0,208.0
0.0184,20.0,208.0
0.0185,62.0,208.0
0.0187,-126.0,208.0
0.0189,-127.0,208.0
0.019,138.0,210.0
0.0192,117.0,212.0
0.0195,-118.0,214.0
0.0198,-57.0,214.0
0.02,120.0,214.0
0.0202,32.0,214.0
0.0204,-95.0,214.0
0.0206,-59.0,212.0
0.0208,-3.0,212.0
0.0209,61.0,212.0
0.0211,105.0,210.0
0.0212,2.0,210.0
0.0213,-97.0,206.0
0.0215,-62.0,206.0
0.0216,6.0,202.0
0.0218,40.0,202.0
0.0219,37.0,200.0
0.022,34.0,200.0
0.0222,17.0,198.0
0.0223,-80.0,198.0
0.0225,-85.0,198.0
0.0226,89.0,200.0
0.0228,94.0,200.0
0.0229,-106.0,200.0
0.0231,-69.0,200.0
0.0232,130.0,200.0
0.0234,56.0,202.0
0.0235,-118.0,202.0
0.0237,-41.0,202.0
0.0238,85.0,202.0
0.024,18.0,200.0
0.0241,-82.0,200.0
0.0243,-30.0,196.0
0.0244,92.0,196.0
0.0246,96.0,194.0
0.0247,-38.0,192.0
0.0249,-141.0,190.0
0.025,-84.0,188.0
0.0252,86.0,186.0
0.0253,175.0,184.0
0.0255,38.0,182.0
0.0258,-153.0,180.0
0.0259,-112.0,180.0
0.0262,66.0,178.0
0.0265,72.0,178.0
0.0269,-25.0,178.0
0.027,4.0,178.0
0.0271,59.0,178.0
0.0273,-20.0,176.0
0.0274,-99.0,178.0
0.0276,-28.0,178.0
0.0277,102.0,180.0
0.0279,104.0,178.0
0.028,-96.0,178.0
0.0283,-202.0,174.0
0.0285,84.0,174.0
0.0286,300.0,172.0
0.0287,-20.0,172.0
0.0289,-321.0,172.0
0.0291,-83.0,174.0
0.0292,223.0,174.0
0.0294,140.0,174.0
0.0295,-73.0,174.0
0.0297,-108.0,174.0
0.0298,-25.0,174.0
0.0299,63.0,174.0
0.0301,37.0,174.0
0.0302,-104.0,176.0
0.0304,-10.0,174.0
0.0305,210.0,176.0
0.0306,17.0,174.0
