Time_s,Raw_EMG,Envelope_EMG
0.0004,6.0,110.0
0.0006,-82.0,110.0
0.0008,-34.0,110.0
0.0009,73.0,112.0
0.001,73.0,112.0
0.0012,-56.0,112.0
0.0014,-110.0,112.0
0.0015,28.0,112.0
0.0016,137.0,114.0
0.0018,16.0,114.0
0.0019,-141.0,116.0
0.0021,-60.0,116.0
0.0023,118.0,118.0
0.0024,70.0,118.0
0.0026,-94.0,118.0
0.0027,-37.0,118.0
0.0029,101.0,118.0
0.003,-2.0,118.0
0.0032,-124.0,120.0
0.0033,10.0,120.0
0.0034,119.0,120.0
0.0036,9.0,120.0
0.0038,-75.0,120.0
0.004,-18.0,120.0
0.0042,26.0,120.0
0.0044,-4.0,120.0
0.0046,-11.0,118.0
0.0048,46.0,118.0
0.005,33.0,118.0
0.0052,-65.0,120.0
0.0054,-52.0,120.0
0.0055,46.0,120.0
0.0056,40.0,120.0
0.0058,-20.0,120.0
0.0059,-21.0,118.0
0.006,-8.0,116.0
0.0062,38.0,118.0
0.0063,80.0,116.0
0.0064,-57.0,116.0
0.0066,-180.0,118.0
0.0067,11.0,116.0
0.0069,215.0,120.0
0.007,78.0,118.0
0.0072,-147.0,120.0
0.0073,-121.0,122.0
0.0074,48.0,120.0
0.0076,84.0,122.0
0.0077,4.0,120.0
0.0078,-19.0,120.0
0.008,-18.0,120.0
0.0081,-39.0,120.0
0.0082,29.0,120.0
0.0084,99.0,120.0
0.0085,-33.0,120.0
0.0087,-132.0,120.0
0.0088,18.0,120.0
0.0089,81.0,120.0
0.0091,-13.0,120.0
0.0092,50.0,118.0
0.0093,52.0,120.0
0.0095,-177.0,120.0
0.0096,-98.0,122.0
0.0098,219.0,122.0
0.0099,88.0,124.0
0.0101,-177.0,126.0
0.0103,-7.0,126.0
0.0105,103.0,128.0
0.0107,-97.0,128.0
0.0109,-49.0,128.0
0.011,169.0,130.0
0.0112,31.0,130.0
0.0115,-178.0,132.0
0.0116,-34.0,130.0
0.0117,126.0,130.0
0.0119,34.0,130.0
0.012,-51.0,128.0
0.0122,-9.0,128.0
0.0123,17.0,126.0
0.0124,-36.0,126.0
0.0126,-43.0,126.0
0.0127,70.0,126.0
0.0128,82.0,126.0
0.013,-74.0,124.0
0.0131,-91.0,124.0
0.0132,63.0,124.0
0.0134,76.0,126.0
0.0135,-50.0,124.0
0.0136,-57.0,124.0
0.0138,20.0,124.0
0.0139,33.0,124.0
0.014,27.0,124.0
0.0141,-3.0,122.0
0.0143,-58.0,124.0
0.0144,-12.0,122.0
0.0145,49.0,122.0
0.0147,2.0,122.0
0.0148,-23.0,122.0
0.0149,14.0,122.0
0.015,7.0,122.0
0.0152,-19.0,122.0
0.0153,9.0,122.0
0.0154,19.0,122.0
0.0155,-26.0,120.0
0.0157,-22.0,122.0
0.0158,25.0,120.0
0.0159,22.0,120.0
0.0162,-6.0,118.0
0.0164,-19.0,118.0
0.0165,-13.0,116.0
0.0166,30.0,116.0
0.0168,25.0,114.0
0.0171,-53.0,114.0
0.0172,-24.0,114.0
0.0174,73.0,112.0
0.0176,0.0,112.0
0.0178,-87.0,112.0
0.018,42.0,112.0
0.0182,115.0,114.0
0.0184,-76.0,114.0
0.0187,-162.0,116.0
0.0188,81.0,116.0
0.019,216.0,118.0
0.0192,-58.0,118.0
0.0194,-248.0,122.0
0.0195,24.0,122.0
0.0197,229.0,124.0
