Time_s,Raw_EMG,Envelope_EMG
0.0005,58.0,328.0
0.0008,163.0,328.0
0.001,-25.0,322.0
0.0012,-126.0,320.0
0.0013,29.0,316.0
0.0015,26.0,312.0
0.0016,-59.0,308.0
0.0018,78.0,304.0
0.0019,83.0,302.0
0.0021,-170.0,296.0
0.0023,-111.0,298.0
0.0024,218.0,294.0
0.0026,138.0,290.0
0.0028,-203.0,292.0
0.0029,-147.0,286.0
0.0031,183.0,286.0
0.0033,171.0,284.0
0.0034,-176.0,282.0
0.0036,-227.0,284.0
0.0038,118.0,282.0
0.0039,234.0,280.0
0.0041,-13.0,280.0
0.0044,-125.0,274.0
0.0045,-34.0,270.0
0.0047,-3.0,264.0
0.0048,-40.0,258.0
0.005,-3.0,256.0
0.0052,169.0,254.0
0.0053,155.0,254.0
0.0055,-205.0,256.0
0.0057,-266.0,260.0
0.0058,94.0,256.0
0.006,186.0,256.0
0.0061,43.0,254.0
0.0062,0.0,248.0
0.0064,-77.0,248.0
0.0066,-105.0,246.0
0.0068,24.0,242.0
0.007,63.0,242.0
0.0071,17.0,240.0
0.0073,35.0,238.0
0.0074,-4.0,236.0
0.0076,-44.0,234.0
0.0077,-11.0,232.0
0.0079,-78.0,232.0
0.008,-48.0,232.0
0.0082,209.0,234.0
0.0083,166.0,236.0
0.0085,-196.0,234.0
0.0087,-231.0,234.0
0.0088,65.0,230.0
0.009,188.0,230.0
0.0091,32.0,230.0
0.0093,-109.0,228.0
0.0094,-16.0,228.0
0.0095,86.0,226.0
0.0097,-47.0,224.0
0.0099,-132.0,226.0
0.01,35.0,220.0
0.0102,185.0,222.0
0.0105,86.0,220.0
0.011,-154.0,218.0
0.0116,-206.0,222.0
0.0119,25.0,220.0
0.0121,206.0,218.0
0.0124,98.0,220.0
0.0126,-107.0,216.0
0.0128,-124.0,218.0
0.0129,2.0,216.0
0.0131,86.0,216.0
0.0132,59.0,214.0
0.0134,-46.0,208.0
0.0135,-69.0,206.0
0.0137,-2.0,198.0
0.0139,39.0,194.0
0.014,82.0,190.0
0.0142,13.0,188.0
0.0144,-138.0,188.0
0.0145,-62.0,186.0
0.0147,93.0,188.0
0.0149,40.0,186.0
0.015,20.0,186.0
0.0151,88.0,184.0
0.0153,-81.0,184.0
0.0155,-260.0,188.0
0.0156,37.0,184.0
0.0157,372.0,190.0
0.0159,26.0,188.0
0.016,-379.0,192.0
0.0162,-32.0,192.0
0.0165,303.0,198.0
0.0167,-17.0,198.0
0.0169,-203.0,198.0
0.0171,108.0,198.0
0.0174,157.0,198.0
0.0176,-226.0,200.0
0.0178,-172.0,202.0
0.0182,304.0,206.0
0.0185,172.0,208.0
0.0187,-305.0,210.0
0.0189,-141.0,210.0
0.0191,287.0,212.0
0.0193,177.0,214.0
0.0196,-256.0,216.0
0.0198,-301.0,220.0
0.0199,101.0,220.0
0.0201,356.0,224.0
0.0203,174.0,226.0
0.0205,-195.0,226.0
0.0207,-342.0,232.0
0.0209,-79.0,230.0
0.0211,223.0,234.0
0.0212,190.0,234.0
0.0214,36.0,234.0
0.0215,-30.0,232.0
0.0217,-137.0,234.0
0.0219,-208.0,236.0
0.022,-34.0,236.0
0.0222,268.0,238.0
0.0225,303.0,244.0
0.0228,-102.0,242.0
0.0231,-390.0,248.0
0.0233,-111.0,248.0
0.0235,213.0,252.0
0.0237,173.0,254.0
0.0239,35.0,254.0
0.0242,-58.0,254.0
0.0244,-141.0,254.0
0.0247,-106.0,256.0
0.0249,97.0,254.0
0.0251,213.0,258.0
0.0253,-27.0,256.0
0.0255,-236.0,258.0
0.0257,1.0,258.0
0.0259,181.0,260.0
0.0262,-13.0,260.0
0.0264,-70.0,258.0
0.0266,55.0,258.0
0.0268,-36.0,256.0
0.0271,-134.0,254.0
0.0273,87.0,254.0
0.0275,222.0,254.0
0.0276,-89.0,254.0
0.0278,-256.0,254.0
0.0279,92.0,254.0
0.0281,205.0,254.0
0.0283,-113.0,252.0
0.0285,-114.0,252.0
0.0286,120.0,250.0
0.0288,43.0,250.0
0.029,-94.0,250.0
0.0291,-1.0,250.0
0.0292,52.0,250.0
0.0294,-39.0,250.0
0.0295,0.0,250.0
0.0297,106.0,250.0
0.0298,-84.0,248.0
0.0301,-216.0,248.0
0.0303,193.0,248.0
0.0304,360.0,252.0
0.0306,-262.0,252.0
0.0307,-478.0,260.0
0.0309,227.0,262.0
0.031,473.0,270.0
0.0312,-118.0,270.0
0.0314,-315.0,274.0
0.0315,54.0,274.0
0.0316,98.0,274.0
0.0318,-84.0,276.0
0.0319,72.0,276.0
0.0322,137.0,278.0
0.0324,-164.0,280.0
0.0329,-163.0,282.0
0.0333,164.0,284.0
0.0335,186.0,284.0
0.0337,-47.0,282.0
0.0339,-181.0,282.0
0.0342,-119.0,280.0
0.0343,93.0,280.0
0.0346,158.0,280.0
0.0348,18.0,280.0
0.0349,-1.0,278.0
0.0351,-33.0,278.0
0.0353,-190.0,280.0
0.0355,-55.0,280.0
0.0356,227.0,282.0
0.0358,142.0,282.0
0.036,-93.0,282.0
0.0362,-142.0,282.0
0.0364,-95.0,282.0
0.0366,53.0,278.0
0.0367,223.0,282.0
0.0369,63.0,280.0
0.0371,-224.0,282.0
0.0373,-110.0,282.0
0.0374,125.0,282.0
0.0376,37.0,282.0
0.0377,-58.0,282.0
0.0378,66.0,282.0
0.038,112.0,284.0
0.0382,-74.0,284.0
0.0383,-188.0,286.0
0.0385,-21.0,286.0
0.0386,137.0,286.0
0.0388,125.0,288.0
0.0389,41.0,286.0
0.0391,-163.0,288.0
0.0393,-221.0,290.0
0.0394,117.0,292.0
0.0396,292.0,296.0
0.0397,-14.0,294.0
0.0399,-226.0,296.0
0.04,-86.0,294.0
0.0402,76.0,294.0
0.0403,135.0,292.0
0.0405,54.0,292.0
0.0412,-131.0,288.0
0.0414,-98.0,288.0
0.0419,90.0,286.0
0.0422,87.0,286.0
0.0424,-27.0,284.0
0.0425,-79.0,284.0
0.0427,-24.0,282.0
0.0428,65.0,278.0
0.043,29.0,276.0
0.0431,-18.0,272.0
0.0433,-3.0,270.0
0.0435,-23.0,264.0
0.0436,7.0,262.0
0.0437,24.0,258.0
0.0439,-66.0,258.0
0.044,-16.0,254.0
0.0442,120.0,250.0
0.0443,37.0,250.0
0.0445,-98.0,246.0
0.0446,-53.0,244.0
0.0448,-5.0,240.0
0.0449,5.0,236.0
0.045,158.0,236.0
0.0452,100.0,234.0
0.0454,-320.0,236.0
0.0455,-183.0,238.0
0.0457,421.0,246.0
0.0459,167.0,246.0
0.046,-394.0,248.0
0.0462,-58.0,248.0
0.0463,260.0,248.0
0.0465,-61.0,244.0
0.0467,-120.0,246.0
0.0469,96.0,240.0
0.047,24.0,240.0
0.0472,-13.0,236.0
0.0473,60.0,234.0
0.0476,-114.0,236.0
0.0478,-151.0,236.0
0.0481,185.0,238.0
0.0483,201.0,240.0
0.0485,-192.0,240.0
0.0487,-168.0,240.0
0.0489,189.0,242.0
0.049,75.0,240.0
0.0492,-182.0,242.0
0.0494,49.0,240.0
0.0495,153.0,242.0
0.0497,-197.0,244.0
0.0498,-136.0,246.0
0.05,304.0,250.0
0.0502,133.0,250.0
0.0503,-285.0,254.0
0.0505,-77.0,252.0
0.0506,157.0,252.0
0.0508,-37.0,248.0
0.0509,-38.0,248.0
0.0511,102.0,246.0
0.0512,27.0,246.0
0.0514,-19.0,244.0
0.0515,-81.0,242.0
0.0517,-149.0,244.0
0.0518,78.0,244.0
0.052,241.0,248.0
0.0522,-7.0,248.0
0.0523,-190.0,250.0
0.0525,-18.0,250.0
0.0526,93.0,250.0
0.0532,-34.0,250.0
0.0536,-76.0,246.0
0.0537,45.0,244.0
0.0539,133.0,240.0
0.0542,81.0,238.0
0.0544,-147.0,232.0
0.0547,-291.0,234.0
0.0549,36.0,228.0
0.0551,422.0,232.0
0.0553,143.0,230.0
0.0557,-382.0,234.0
0.056,-248.0,236.0
0.0562,236.0,240.0
0.0563,197.0,242.0
0.0565,-127.0,240.0
0.0567,-44.0,238.0
0.0568,110.0,238.0
0.057,-76.0,236.0
0.0572,-120.0,236.0
0.0573,88.0,236.0
0.0574,65.0,234.0
0.0576,-41.0,234.0
0.0577,46.0,232.0
0.0579,21.0,230.0
0.0581,-126.0,232.0
0.0582,-22.0,232.0
0.0584,130.0,234.0
0.0585,0.0,232.0
0.0586,-76.0,232.0
0.059,43.0,228.0
0.0592,-15.0,226.0
0.0595,-94.0,226.0
0.0597,111.0,226.0
0.0598,156.0,226.0
0.06,-159.0,228.0
0.0602,-222.0,228.0
0.0604,149.0,230.0
0.0607,235.0,230.0
0.0608,-129.0,230.0
0.061,-167.0,232.0
0.0612,132.0,232.0
0.0613,74.0,232.0
0.0615,-136.0,234.0
0.0617,-21.0,232.0
0.0619,110.0,234.0
0.0621,14.0,230.0
0.0623,-50.0,230.0
0.0625,-29.0,230.0
0.0626,-43.0,228.0
0.0628,47.0,228.0
0.063,168.0,228.0
0.0632,-42.0,226.0
0.0634,-259.0,228.0
0.0635,13.0,224.0
0.0637,229.0,226.0
0.0638,-24.0,224.0
0.064,-100.0,224.0
0.0642,120.0,224.0
0.0643,-3.0,222.0
0.0645,-219.0,224.0
0.0646,32.0,224.0
0.0648,198.0,224.0
0.0651,-64.0,224.0
0.0653,-89.0,224.0
0.0655,144.0,226.0
0.0657,33.0,226.0
0.0659,-191.0,228.0
0.066,-65.0,228.0
0.0662,131.0,230.0
0.0663,72.0,230.0
0.0665,0.0,230.0
0.0666,23.0,230.0
0.0668,-108.0,232.0
0.0669,-164.0,234.0
0.0671,146.0,236.0
0.0673,249.0,240.0
0.0675,-125.0,240.0
0.0676,-250.0,242.0
0.0678,67.0,242.0
0.0679,184.0,244.0
0.068,0.0,244.0
0.0682,-63.0,244.0
0.0683,-41.0,244.0
0.0685,-43.0,242.0
0.0686,48.0,238.0
0.0688,54.0,236.0
0.0689,-50.0,230.0
0.069,11.0,228.0
0.0692,59.0,222.0
0.0693,-73.0,222.0
0.0695,-31.0,220.0
0.0696,126.0,220.0
0.0698,-52.0,220.0
0.07,-200.0,220.0
0.0701,126.0,222.0
0.0703,253.0,226.0
0.0704,-137.0,228.0
0.0706,-225.0,228.0
0.0707,97.0,228.0
0.0709,141.0,228.0
0.0714,-40.0,224.0
0.0716,-57.0,222.0
0.0718,-8.0,220.0
0.072,2.0,218.0
0.0722,26.0,216.0
0.0724,13.0,214.0
0.0726,-8.0,214.0
0.0728,2.0,210.0
0.073,-33.0,208.0
0.0732,-21.0,206.0
0.0734,79.0,204.0
0.0735,10.0,202.0
0.0737,-115.0,198.0
0.0739,30.0,198.0
0.074,148.0,198.0
0.0742,-72.0,198.0
0.0744,-184.0,200.0
0.0745,80.0,200.0
0.0747,193.0,202.0
0.0748,-50.0,204.0
0.075,-123.0,204.0
0.0751,26.0,202.0
0.0753,-14.0,200.0
0.0755,-59.0,198.0
0.0756,94.0,200.0
0.0758,137.0,198.0
0.0759,-10.0,198.0
0.0761,-175.0,200.0
0.0765,-169.0,202.0
0.0767,111.0,202.0
0.0769,267.0,206.0
0.0771,3.0,204.0
0.0774,-195.0,206.0
0.0777,-39.0,204.0
0.0827,40.0,200.0
0.0878,-47.0,200.0
0.0928,79.0,194.0
0.0977,187.0,196.0
0.1027,-145.0,192.0
0.1077,-304.0,192.0
0.1128,173.0,192.0
0.1178,335.0,194.0
0.1228,-176.0,194.0
0.1278,-258.0,198.0
0.133,167.0,198.0
0.1379,152.0,200.0
0.1429,-122.0,200.0
0.148,-83.0,200.0
0.1527,27.0,200.0
0.1577,9.0,198.0
0.1637,26.0,198.0
0.1679,71.0,200.0
0.1733,49.0,198.0
0.1779,-58.0,198.0
0.1834,-173.0,200.0
0.1878,-83.0,200.0
0.193,168.0,202.0
0.1979,225.0,206.0
0.2039,-1.0,204.0
0.2077,-236.0,208.0
0.2128,-182.0,208.0
0.2177,129.0,208.0
0.223,234.0,208.0
0.2277,-25.0,206.0
0.2329,-134.0,206.0
0.2378,19.0,202.0
0.2428,-7.0,200.0
0.2479,-88.0,200.0
0.2529,69.0,198.0
0.2579,122.0,198.0
0.2627,-38.0,198.0
0.2677,-48.0,198.0
0.2727,-9.0,196.0
0.2778,-88.0,198.0
0.2833,-2.0,196.0
0.2878,182.0,198.0
0.2929,60.0,200.0
0.2978,-162.0,200.0
0.3027,-81.0,200.0
0.3078,41.0,200.0
0.3132,20.0,196.0
0.3178,100.0,198.0
0.3229,75.0,194.0
0.3278,-188.0,198.0
0.3327,-114.0,198.0
0.3379,197.0,198.0
0.3437,39.0,200.0
0.3478,-155.0,198.0
0.3527,115.0,200.0
0.3577,117.0,198.0
0.3627,-224.0,200.0
0.3684,-95.0,202.0
0.373,180.0,202.0
0.3778,48.0,202.0
0.3828,-41.0,200.0
0.3878,28.0,198.0
0.3927,-49.0,198.0
0.3979,-62.0,198.0
0.4031,71.0,198.0
0.4088,18.0,198.0
0.4127,-110.0,198.0
0.4177,15.0,196.0
0.423,187.0,196.0
0.4278,45.0,194.0
0.4329,-229.0,196.0
0.4378,-141.0,194.0
0.4428,177.0,196.0
0.4477,167.0,196.0
0.4534,-70.0,196.0
0.4579,-117.0,196.0
0.4628,-24.0,196.0
0.4677,61.0,196.0
0.4727,79.0,198.0
0.478,-36.0,198.0
0.483,-88.0,198.0
0.4879,47.0,198.0
0.4928,72.0,198.0
0.4979,-81.0,198.0
0.5027,-92.0,200.0
0.5087,71.0,198.0
0.5129,164.0,200.0
0.5179,36.0,198.0
0.5228,-206.0,200.0
0.5277,-177.0,198.0
0.5327,132.0,198.0
0.5378,215.0,198.0
0.543,6.0,196.0
0.548,-114.0,196.0
0.5527,-83.0,196.0
0.5577,-16.0,196.0
0.5627,56.0,196.0
0.5677,60.0,198.0
0.5729,25.0,198.0
0.5777,-20.0,198.0
0.5827,-115.0,200.0
0.5877,-17.0,200.0
0.5942,189.0,202.0
0.5977,-2.0,202.0
0.6028,-215.0,204.0
0.6077,48.0,204.0
0.6139,160.0,206.0
0.6178,-67.0,206.0
0.6228,-33.0,204.0
0.6278,50.0,204.0
0.6327,-103.0,202.0
0.6378,-17.0,202.0
0.6428,175.0,202.0
0.6478,-23.0,200.0
0.6528,-147.0,202.0
0.6578,67.0,202.0
0.6629,46.0,202.0
0.6681,-101.0,202.0
0.6727,65.0,202.0
0.6785,114.0,202.0
0.6827,-130.0,204.0
0.6877,-95.0,202.0
0.6927,123.0,202.0
0.6977,32.0,200.0
0.7027,-60.0,198.0
0.7078,48.0,198.0
0.7128,-28.0,196.0
0.7177,-94.0,196.0
0.7227,94.0,198.0
0.7276,95.0,198.0
0.7328,-82.0,198.0
0.7378,-73.0,196.0
0.7429,0.0,194.0
0.7477,41.0,190.0
0.7527,68.0,188.0
0.7578,-11.0,184.0
0.7632,-67.0,182.0
0.7677,-12.0,178.0
0.7728,22.0,176.0
0.7777,46.0,174.0
0.7835,21.0,172.0
0.7877,-79.0,172.0
0.7928,-51.0,172.0
0.7979,54.0,174.0
0.803,49.0,174.0
0.8077,36.0,172.0
0.8127,14.0,172.0
0.8184,-96.0,174.0
0.8228,-108.0,172.0
0.8278,31.0,172.0
0.8328,138.0,170.0
0.8404,109.0,168.0
0.8426,-63.0,170.0
0.8477,-195.0,170.0
