Time_s,Raw_EMG,Envelope_EMG
0.0007,-19.0,500.0
0.001,128.0,494.0
0.0013,58.0,496.0
0.0016,438.0,492.0
0.0018,-13.0,488.0
0.0021,-653.0,492.0
0.0024,-55.0,488.0
0.0026,368.0,490.0
0.0028,48.0,488.0
0.003,141.0,490.0
0.0033,86.0,490.0
0.0036,-464.0,494.0
0.0038,-245.0,494.0
0.0041,399.0,496.0
0.0043,258.0,498.0
0.0045,8.0,494.0
0.0048,-28.0,494.0
0.005,-523.0,498.0
0.0052,-344.0,502.0
0.0056,862.0,514.0
0.0058,582.0,522.0
0.0061,-945.0,536.0
0.0065,-484.0,542.0
0.0067,905.0,554.0
0.0069,179.0,556.0
0.0071,-811.0,566.0
0.0073,1.0,566.0
0.0075,533.0,574.0
0.0076,85.0,572.0
0.0077,40.0,570.0
0.008,-204.0,574.0
0.0082,-637.0,578.0
0.0083,71.0,578.0
0.0085,713.0,584.0
0.0086,208.0,586.0
0.0088,-99.0,588.0
0.0089,-261.0,592.0
0.0091,-667.0,598.0
0.0093,-12.0,596.0
0.0094,858.0,602.0
0.0096,259.0,604.0
0.0097,-313.0,604.0
0.0099,-127.0,604.0
0.0101,-483.0,610.0
0.0103,-308.0,614.0
0.0104,967.0,628.0
0.0106,614.0,636.0
0.0108,-960.0,652.0
0.0109,-390.0,656.0
0.0111,716.0,668.0
0.0114,-303.0,672.0
0.0118,-576.0,680.0
0.012,905.0,694.0
0.0123,503.0,700.0
0.0126,-968.0,714.0
0.0128,-176.0,712.0
0.0131,664.0,720.0
0.0132,-439.0,726.0
0.0134,-440.0,730.0
0.0136,926.0,742.0
0.0138,400.0,748.0
0.0141,-946.0,756.0
0.0143,-296.0,760.0
0.0145,660.0,762.0
0.0147,35.0,758.0
0.0149,-424.0,756.0
0.015,92.0,752.0
0.0152,246.0,750.0
0.0154,111.0,744.0
0.0156,119.0,744.0
0.0158,-365.0,744.0
0.016,-661.0,752.0
0.0161,289.0,754.0
0.0164,1030.0,770.0
0.0165,41.0,768.0
0.0168,-956.0,782.0
0.017,-205.0,784.0
0.018,591.0,792.0
0.0183,27.0,790.0
0.0185,-348.0,794.0
0.0186,203.0,790.0
0.0189,361.0,786.0
0.0191,-166.0,780.0
0.0194,-313.0,772.0
0.0195,-61.0,768.0
0.0197,-65.0,754.0
0.0199,182.0,754.0
0.02,612.0,752.0
0.0203,-117.0,748.0
0.0206,-1008.0,758.0
0.0207,57.0,756.0
0.021,1187.0,772.0
0.0212,-100.0,772.0
0.0214,-1222.0,788.0
0.0216,52.0,786.0
0.0218,1020.0,796.0
0.0219,208.0,796.0
0.0221,-476.0,796.0
0.0223,-450.0,794.0
0.0224,-162.0,794.0
0.0226,431.0,792.0
0.0228,425.0,796.0
0.023,-346.0,796.0
0.0232,-150.0,794.0
0.0237,590.0,802.0
