Time_s,Raw_EMG,Envelope_EMG
0.0004,159.0,224.0
0.0006,-19.0,224.0
0.0008,-104.0,222.0
0.001,55.0,224.0
0.0011,35.0,224.0
0.0013,-51.0,224.0
0.0014,48.0,224.0
0.0016,-18.0,224.0
0.0017,-169.0,226.0
0.0019,80.0,226.0
0.0021,285.0,228.0
0.0022,-82.0,228.0
0.0024,-330.0,228.0
0.0025,40.0,226.0
0.0028,291.0,226.0
0.0029,44.0,224.0
0.0031,-167.0,226.0
0.0033,-155.0,228.0
0.0034,-19.0,228.0
0.0036,197.0,228.0
0.0038,170.0,228.0
0.004,-137.0,226.0
0.0042,-213.0,226.0
0.0044,52.0,226.0
0.0047,195.0,224.0
0.0049,20.0,224.0
0.0052,-192.0,222.0
0.0055,-118.0,224.0
0.0057,183.0,222.0
0.006,225.0,224.0
0.0063,-125.0,222.0
0.0065,-275.0,224.0
0.0067,48.0,222.0
0.0069,221.0,224.0
0.0071,-18.0,222.0
0.0073,-84.0,224.0
0.0074,39.0,224.0
0.0076,-62.0,224.0
0.0078,-45.0,224.0
0.008,178.0,226.0
0.0081,6.0,224.0
0.0083,-277.0,226.0
0.0084,27.0,224.0
0.0086,329.0,228.0
0.0087,-25.0,226.0
0.0089,-277.0,228.0
0.0091,48.0,228.0
0.0092,159.0,226.0
0.0094,-143.0,228.0
0.0096,-104.0,224.0
0.0107,225.0,226.0
0.0111,139.0,222.0
0.0114,-186.0,224.0
0.0116,-119.0,222.0
0.0117,98.0,222.0
0.0119,-20.0,218.0
0.0122,-110.0,218.0
0.0123,84.0,218.0
0.0125,196.0,220.0
0.0127,106.0,220.0
0.0128,-185.0,222.0
0.013,-448.0,226.0
0.0132,19.0,226.0
0.0133,697.0,232.0
0.0135,173.0,234.0
0.0137,-724.0,242.0
0.0138,-235.0,244.0
0.014,567.0,250.0
0.0142,111.0,248.0
0.0144,-373.0,252.0
0.0145,99.0,250.0
0.0147,265.0,254.0
0.0148,-221.0,254.0
0.015,-218.0,256.0
0.0152,203.0,256.0
0.0153,144.0,258.0
0.0155,-164.0,258.0
0.0157,-29.0,256.0
0.0158,208.0,258.0
0.0161,-72.0,258.0
0.0164,-280.0,262.0
0.0166,132.0,262.0
0.0168,281.0,266.0
0.017,-169.0,268.0
0.0172,-210.0,272.0
0.0174,192.0,274.0
0.0176,104.0,274.0
0.0177,-172.0,276.0
0.0179,27.0,278.0
0.0181,118.0,278.0
0.0182,-138.0,280.0
0.0184,-77.0,278.0
0.0186,169.0,280.0
0.0187,44.0,280.0
0.0189,-141.0,282.0
0.0191,-11.0,280.0
0.0192,102.0,280.0
0.0193,6.0,280.0
0.0195,-77.0,278.0
0.0197,-17.0,280.0
0.0199,71.0,278.0
0.02,9.0,278.0
0.0201,-36.0,276.0
0.0203,27.0,274.0
0.0204,-54.0,272.0
0.0206,-83.0,274.0
0.0208,110.0,274.0
0.0209,112.0,274.0
0.0211,-62.0,274.0
0.0212,-75.0,272.0
0.0214,-18.0,272.0
0.0215,25.0,266.0
0.0217,42.0,266.0
0.0218,-28.0,262.0
0.022,-39.0,264.0
0.0223,63.0,262.0
0.0224,61.0,264.0
0.0226,-76.0,264.0
0.0229,-79.0,264.0
0.0231,95.0,264.0
0.0233,85.0,264.0
0.0236,-156.0,264.0
0.0237,-129.0,264.0
0.0239,201.0,268.0
0.0241,203.0,270.0
0.0243,-156.0,272.0
0.0245,-243.0,274.0
0.0246,59.0,274.0
0.0248,254.0,276.0
0.025,-41.0,276.0
0.0253,-325.0,280.0
0.0255,175.0,282.0
0.0257,514.0,290.0
0.0258,-328.0,294.0
0.026,-731.0,304.0
0.0262,252.0,308.0
0.0263,785.0,318.0
0.0265,58.0,318.0
0.0266,-588.0,322.0
0.0268,-292.0,326.0
0.027,279.0,324.0
0.0271,235.0,328.0
0.0273,-125.0,324.0
0.0275,-49.0,326.0
0.0277,194.0,326.0
0.0279,-10.0,324.0
0.0281,-272.0,328.0
0.0283,-41.0,324.0
0.0285,220.0,326.0
0.0287,46.0,324.0
0.0288,-151.0,324.0
0.029,-4.0,322.0
0.0292,165.0,322.0
0.0297,34.0,322.0
0.0299,-200.0,322.0
0.0301,-176.0,324.0
0.0302,174.0,322.0
0.0305,352.0,324.0
0.0307,-65.0,324.0
0.0308,-428.0,326.0
0.031,-97.0,328.0
0.0312,314.0,328.0
0.0313,206.0,332.0
0.0315,-74.0,332.0
0.0317,-145.0,334.0
0.0319,-118.0,334.0
0.032,-46.0,334.0
0.0322,134.0,334.0
0.0323,178.0,336.0
0.0325,0.0,332.0
0.0327,-124.0,334.0
0.0329,-169.0,330.0
0.033,-37.0,330.0
0.0332,327.0,332.0
0.0334,159.0,334.0
0.0337,-468.0,338.0
0.0342,-193.0,338.0
0.0344,513.0,346.0
0.0347,131.0,344.0
0.0349,-404.0,348.0
0.0352,50.0,346.0
0.0354,254.0,348.0
0.0356,-303.0,352.0
0.0359,-235.0,354.0
0.0361,485.0,360.0
0.0363,346.0,364.0
0.0365,-478.0,368.0
0.0367,-428.0,374.0
0.0369,297.0,376.0
0.0371,356.0,374.0
0.0372,-99.0,376.0
0.0374,-193.0,368.0
0.0375,45.0,366.0
0.0378,130.0,356.0
0.038,-112.0,354.0
0.0382,-232.0,350.0
0.0383,118.0,350.0
0.0385,318.0,348.0
0.0386,-4.0,346.0
0.0388,-209.0,346.0
0.0389,-84.0,344.0
0.0391,-1.0,340.0
0.0392,54.0,338.0
0.0394,77.0,338.0
0.0395,-13.0,334.0
0.0397,28.0,334.0
0.0398,80.0,332.0
0.04,-118.0,334.0
0.0402,-179.0,332.0
0.0406,27.0,330.0
0.0411,154.0,328.0
0.0414,187.0,328.0
0.0418,34.0,326.0
0.0423,-337.0,328.0
0.0426,-301.0,332.0
0.0428,290.0,334.0
0.043,484.0,340.0
0.0431,-66.0,340.0
0.0433,-421.0,344.0
0.0435,-161.0,346.0
0.0436,129.0,344.0
0.0438,211.0,348.0
0.044,161.0,348.0
0.0442,-114.0,350.0
0.0444,-256.0,352.0
0.0445,62.0,352.0
0.0447,177.0,354.0
0.0448,-129.0,356.0
0.045,-59.0,356.0
0.0452,238.0,360.0
0.0453,-12.0,358.0
0.0455,-307.0,364.0
0.0456,43.0,362.0
0.0458,305.0,366.0
0.0459,-76.0,366.0
0.0462,-244.0,368.0
0.0464,117.0,368.0
0.0467,157.0,370.0
0.0469,-141.0,372.0
0.0472,-110.0,374.0
0.0474,100.0,374.0
0.0476,175.0,376.0
0.0478,56.0,376.0
0.048,-299.0,380.0
0.0482,-282.0,384.0
0.0484,328.0,388.0
0.0486,412.0,392.0
0.0488,-227.0,396.0
0.0489,-350.0,400.0
0.0491,100.0,398.0
0.0494,186.0,400.0
0.0497,-17.0,396.0
0.0499,-64.0,394.0
0.0502,-54.0,392.0
0.0503,2.0,388.0
0.0506,138.0,390.0
0.0507,60.0,388.0
0.0509,-180.0,390.0
0.0511,-86.0,386.0
0.0512,175.0,386.0
0.0514,2.0,378.0
0.0515,-206.0,376.0
0.0517,113.0,366.0
0.0519,273.0,366.0
0.052,-122.0,356.0
0.0522,-264.0,360.0
0.0524,31.0,350.0
0.0526,143.0,348.0
0.0528,27.0,344.0
0.0531,-34.0,340.0
0.0534,-8.0,340.0
0.0536,62.0,340.0
0.0537,9.0,336.0
0.0539,-197.0,340.0
0.0541,-73.0,336.0
0.0542,307.0,340.0
0.0544,119.0,338.0
0.0545,-326.0,344.0
0.0547,-100.0,342.0
0.0549,284.0,346.0
0.0551,65.0,346.0
0.0552,-197.0,348.0
0.0554,-46.0,346.0
0.0555,37.0,344.0
0.0557,29.0,340.0
0.0559,151.0,338.0
0.056,-23.0,338.0
0.0562,-241.0,334.0
0.0563,78.0,334.0
0.0565,188.0,332.0
0.0567,-195.0,332.0
0.0568,-88.0,332.0
0.057,277.0,334.0
0.0571,17.0,332.0
0.0573,-236.0,336.0
0.0575,60.0,334.0
0.0576,116.0,334.0
0.0578,-196.0,336.0
0.058,-53.0,336.0
0.0581,311.0,338.0
0.0583,93.0,338.0
0.0585,-275.0,338.0
0.0587,-127.0,338.0
0.059,114.0,332.0
0.0592,72.0,330.0
0.0596,0.0,322.0
0.0598,-27.0,320.0
0.0599,11.0,314.0
0.0601,106.0,314.0
0.0603,-70.0,312.0
0.0604,-241.0,310.0
0.0606,100.0,308.0
0.0607,300.0,306.0
0.061,-102.0,302.0
0.0612,-248.0,298.0
0.0613,95.0,294.0
0.0614,129.0,290.0
0.0616,-91.0,286.0
0.0617,-4.0,286.0
0.0619,101.0,284.0
0.062,-60.0,284.0
0.0622,-97.0,284.0
0.0623,34.0,282.0
0.0625,29.0,278.0
0.0627,55.0,278.0
0.0628,93.0,274.0
0.063,-134.0,276.0
0.0632,-177.0,276.0
0.0633,126.0,276.0
0.0635,132.0,278.0
0.0636,-55.0,278.0
0.0638,30.0,278.0
0.0639,20.0,278.0
0.0641,-194.0,280.0
0.0644,-57.0,280.0
0.0646,232.0,282.0
0.0651,73.0,280.0
0.0656,-151.0,282.0
0.066,15.0,280.0
0.0663,80.0,278.0
0.0665,-154.0,280.0
0.0668,-100.0,276.0
0.067,249.0,276.0
0.0672,170.0,274.0
0.0674,-272.0,270.0
0.0676,-221.0,274.0
0.0678,210.0,270.0
0.068,239.0,272.0
0.0681,-62.0,270.0
0.0683,-217.0,270.0
0.0685,-106.0,270.0
0.0686,131.0,270.0
0.0689,174.0,268.0
0.0691,-33.0,268.0
0.0692,-104.0,266.0
0.0694,40.0,266.0
0.0695,40.0,264.0
