Time_s,Raw_EMG,Envelope_EMG
0.0004,-26.0,242.0
0.0007,-161.0,244.0
0.0011,-95.0,244.0
0.0012,193.0,246.0
0.0015,184.0,246.0
0.0017,-204.0,248.0
0.0019,-184.0,250.0
0.0022,225.0,252.0
0.0024,157.0,250.0
0.0026,-275.0,254.0
0.0029,-189.0,256.0
0.0031,286.0,258.0
0.0034,266.0,260.0
0.0036,-168.0,262.0
0.0039,-292.0,264.0
0.0041,-64.0,266.0
0.0043,207.0,266.0
0.0046,263.0,270.0
0.0049,-37.0,270.0
0.0052,-258.0,272.0
0.0054,-99.0,272.0
0.0055,27.0,272.0
0.0057,74.0,270.0
0.0058,217.0,274.0
0.0062,77.0,272.0
0.0065,-281.0,274.0
0.0067,-198.0,276.0
0.0069,223.0,274.0
0.0071,225.0,276.0
0.0073,-161.0,276.0
0.0075,-165.0,274.0
0.0076,96.0,274.0
0.0078,-1.0,268.0
0.0082,-55.0,268.0
0.0085,200.0,270.0
0.0087,100.0,270.0
0.009,-270.0,274.0
0.0096,-168.0,274.0
0.0099,179.0,276.0
0.0102,139.0,272.0
0.0106,-90.0,274.0
0.0108,-57.0,270.0
0.0109,141.0,270.0
0.0111,76.0,268.0
0.0114,-231.0,270.0
0.0117,-182.0,272.0
0.0119,195.0,276.0
0.0121,162.0,276.0
0.0124,-114.0,276.0
0.0126,28.0,272.0
0.0128,197.0,274.0
0.0131,-129.0,270.0
0.0134,-382.0,276.0
0.0136,-35.0,270.0
0.0138,386.0,276.0
0.014,270.0,278.0
0.0144,-148.0,278.0
0.0147,-298.0,282.0
0.0151,-73.0,280.0
0.0154,134.0,282.0
0.0157,89.0,280.0
0.0158,5.0,280.0
0.016,27.0,280.0
0.0162,-19.0,280.0
0.0165,-157.0,282.0
0.0168,-41.0,282.0
0.0169,253.0,284.0
0.0171,95.0,286.0
0.0173,-280.0,288.0
0.0175,-76.0,288.0
0.0178,227.0,292.0
0.018,-23.0,290.0
0.0181,-136.0,292.0
0.0183,134.0,292.0
0.0185,62.0,294.0
0.0186,-181.0,294.0
0.0188,-8.0,294.0
0.0189,178.0,296.0
0.0191,-58.0,296.0
0.0193,-236.0,296.0
0.0194,98.0,298.0
0.0196,381.0,298.0
0.0197,-18.0,298.0
0.0199,-445.0,302.0
0.0201,-134.0,304.0
0.0204,304.0,308.0
0.0207,182.0,310.0
0.0211,-82.0,308.0
0.0214,-78.0,306.0
0.0217,-28.0,304.0
0.0221,-8.0,300.0
0.0222,20.0,300.0
0.0224,-91.0,298.0
0.0226,-32.0,298.0
0.0228,317.0,300.0
0.0229,131.0,300.0
0.0231,-451.0,304.0
0.0233,-208.0,306.0
0.0234,387.0,308.0
0.0236,159.0,310.0
0.0238,-199.0,308.0
0.0241,-5.0,308.0
