Time(s),Raw_EMG,RMS,Normalized_RMS
0.004,0,0,0.0
0.009,0,0,0.0
0.014,0,0,0.0
0.019,176,0,0.0
0.025,0,0,0.0
0.029,763,0,0.0
0.034,0,0,0.0
0.039,0,0,0.0
0.045,0,0,0.0
0.049,0,0,0.0
0.054,0,0,0.0
0.059,0,0,0.0
0.064,0,0,0.0
0.069,0,0,0.0
0.074,0,0,0.0
0.079,0,0,0.0
0.084,0,0,0.0
0.089,0,0,0.0
0.094,0,0,0.0
0.099,0,0,0.0
0.104,0,0,0.0
0.109,0,0,0.0
0.114,0,0,0.0
0.119,0,0,0.0
0.124,542,0,0.0
0.129,73,0,0.0
0.134,0,0,0.0
0.139,0,0,0.0
0.144,0,0,0.0
0.149,3,0,0.0
0.154,0,0,0.0
0.159,0,0,0.0
0.164,0,0,0.0
0.169,0,0,0.0
0.174,0,0,0.0
0.179,0,0,0.0
0.184,0,0,0.0
0.189,0,0,0.0
0.194,0,0,0.0
0.199,0,0,0.0
0.205,0,0,0.0
0.209,0,0,0.0
0.214,0,0,0.0
0.219,0,0,0.0
0.224,0,0,0.0
0.229,0,0,0.0
0.234,58,0,0.0
0.239,0,0,0.0
0.244,0,0,0.0
0.249,0,0,0.0
0.254,0,0,0.0
0.259,0,0,0.0
0.264,0,0,0.0
0.269,0,0,0.0
0.274,0,0,0.0
0.279,0,0,0.0
0.284,0,0,0.0
0.289,0,0,0.0
0.294,0,0,0.0
0.299,0,0,0.0
0.304,0,0,0.0
0.309,0,0,0.0
0.314,0,0,0.0
0.319,0,0,0.0
0.324,0,0,0.0
0.329,0,0,0.0
0.334,0,0,0.0
0.339,0,0,0.0
0.344,0,0,0.0
0.349,0,0,0.0
0.354,0,0,0.0
0.359,0,0,0.0
0.364,0,0,0.0
0.369,0,0,0.0
0.374,0,0,0.0
0.379,0,0,0.0
0.384,0,0,0.0
0.389,0,0,0.0
0.394,0,0,0.0
0.399,0,0,0.0
0.404,0,0,0.0
0.409,0,0,0.0
0.414,0,0,0.0
0.419,0,0,0.0
0.424,166,0,0.0
0.429,0,0,0.0
0.434,0,0,0.0
0.439,0,0,0.0
0.444,0,0,0.0
0.449,0,0,0.0
0.454,0,0,0.0
0.459,0,0,0.0
0.464,0,0,0.0
0.469,0,0,0.0
0.474,0,0,0.0
0.479,0,0,0.0
0.484,0,0,0.0
0.489,0,0,0.0
0.494,0,0,0.0
0.499,0,0,0.0
0.504,0,0,0.0
0.509,0,0,0.0
0.514,0,0,0.0
0.519,0,0,0.0
0.524,0,0,0.0
0.529,0,0,0.0
